lead_id,account_id,source,score,created_at,converted
200,10371,paid_search,32,2025-04-19,False
201,10374,webinar,26,2026-02-04,False
202,10375,event,63,2025-09-11,True
203,10379,organic,18,2025-10-28,False
204,10380,organic,78,2025-07-24,False
205,10381,organic,60,2025-01-24,False
206,10382,webinar,85,2025-05-30,True
207,10383,partner,62,2025-08-03,True
208,10384,paid_search,99,2025-05-19,True
209,10387,paid_search,66,2025-11-08,True
210,10388,organic,88,2025-09-26,True
211,10389,organic,84,2025-12-29,False
212,10391,webinar,49,2025-05-11,True
213,10392,webinar,86,2026-01-07,False
214,10395,webinar,46,2025-12-21,False
215,10396,paid_search,99,2025-04-18,True
216,10400,paid_search,79,2025-08-15,False
217,10401,event,78,2025-03-24,True
218,10403,partner,85,2025-04-08,False
219,10406,event,79,2025-09-23,True
220,10407,webinar,87,2025-02-18,False
221,10408,partner,17,2025-11-14,True
222,10409,event,27,2025-06-06,True
223,10410,paid_search,69,2026-01-24,False
224,10412,webinar,60,2025-05-01,True
225,10413,partner,36,2025-12-26,True
226,10414,partner,22,2025-06-13,False
227,10417,organic,21,2026-01-17,True
228,10421,event,53,2025-05-27,False
229,10422,organic,96,2025-06-20,True
230,10425,event,85,2025-07-30,True
231,10426,organic,38,2025-04-06,True
232,10428,paid_search,31,2025-05-07,True
233,10430,organic,21,2026-01-07,False
234,10431,organic,47,2026-04-05,False
235,10434,organic,57,2025-04-07,True
236,10438,event,94,2025-03-01,True
237,10439,event,88,2025-11-30,False
238,10443,webinar,72,2025-11-27,False
239,10444,event,25,2025-12-25,True
240,10446,partner,83,2025-02-28,True
241,10447,webinar,67,2025-06-16,False
242,10448,webinar,67,2025-06-15,True
243,10450,partner,31,2025-11-03,True
244,10451,paid_search,90,2025-10-25,True
245,10452,webinar,82,2025-11-25,True
246,10455,webinar,20,2025-01-16,True
247,10456,paid_search,64,2025-08-27,True
248,10458,organic,89,2025-06-21,True
249,10460,paid_search,32,2026-03-30,True
250,10462,partner,65,2025-08-13,False
251,10467,partner,16,2026-02-23,True
252,10474,partner,67,2025-05-06,True
253,10475,webinar,35,2025-07-24,True
254,10476,webinar,84,2025-12-16,False
255,10477,organic,69,2025-04-11,True
256,10478,partner,96,2025-10-14,True
257,10479,event,48,2026-03-30,False
258,10480,partner,22,2026-03-30,True
259,10481,paid_search,82,2025-05-10,True
260,10482,partner,57,2025-07-27,False
261,10487,paid_search,63,2025-08-11,True
262,10488,event,97,2025-10-03,False
263,10491,organic,54,2025-09-10,False
264,10492,event,20,2025-09-07,False
265,10494,paid_search,85,2025-07-26,False
266,10496,organic,54,2025-06-22,False
267,10497,event,58,2026-03-14,False
268,10500,event,67,2025-03-10,True
