account_id,account_name,industry,region,segment,lifecycle_stage,company_size,created_at
10047,Account 10047,Fintech,NA,startup,lead,150,2025-01-19
10048,Account 10048,Retail,NA,startup,trial,75,2025-07-01
10049,Account 10049,Retail,EMEA,mid_market,customer,150,2024-12-07
10050,Account 10050,SaaS,EMEA,startup,customer,400,2025-07-18
10051,Account 10051,Healthcare,EMEA,startup,trial,400,2024-01-30
10052,Account 10052,Fintech,NA,startup,customer,400,2024-01-24
10053,Account 10053,Healthcare,APAC,mid_market,customer,25,2024-03-05
10054,Account 10054,Logistics,EMEA,mid_market,trial,400,2024-12-27
10055,Account 10055,SaaS,NA,mid_market,customer,400,2025-04-05
10056,Account 10056,Logistics,NA,mid_market,churned,400,2024-05-20
10057,Account 10057,Healthcare,EMEA,mid_market,customer,25,2024-04-11
10058,Account 10058,Retail,NA,mid_market,customer,150,2025-07-13
10059,Account 10059,Healthcare,NA,startup,lead,150,2025-05-02
10060,Account 10060,Fintech,LATAM,startup,churned,25,2025-02-25
10061,Account 10061,Retail,NA,mid_market,customer,75,2024-11-13
10062,Account 10062,Retail,NA,mid_market,churned,150,2024-09-30
10063,Account 10063,SaaS,LATAM,mid_market,customer,400,2024-01-14
10064,Account 10064,Retail,EMEA,mid_market,lead,75,2024-05-02
10065,Account 10065,Retail,NA,mid_market,lead,900,2025-08-06
10066,Account 10066,Fintech,APAC,mid_market,customer,150,2024-08-08
10067,Account 10067,Logistics,APAC,mid_market,customer,400,2025-04-02
10068,Account 10068,Retail,NA,startup,lead,150,2025-04-02
10069,Account 10069,Fintech,EMEA,startup,customer,150,2024-07-20
10070,Account 10070,SaaS,NA,mid_market,customer,400,2024-05-12
10071,Account 10071,Retail,NA,startup,customer,2500,2025-03-25
10072,Account 10072,Fintech,EMEA,startup,customer,150,2024-03-01
10073,Account 10073,Retail,NA,enterprise,lead,150,2024-11-17
10074,Account 10074,Healthcare,EMEA,startup,customer,400,2025-07-31
10075,Account 10075,Healthcare,APAC,startup,customer,400,2025-04-07
10076,Account 10076,SaaS,NA,startup,customer,25,2025-05-11
10077,Account 10077,Retail,EMEA,startup,customer,150,2024-02-24
10078,Account 10078,SaaS,NA,mid_market,customer,150,2024-05-09
10079,Account 10079,Healthcare,APAC,mid_market,customer,2500,2024-06-27
10080,Account 10080,Logistics,NA,mid_market,trial,150,2024-07-09
10081,Account 10081,Logistics,EMEA,mid_market,customer,150,2024-05-06
10082,Account 10082,Logistics,NA,startup,customer,,2025-09-23
10083,Account 10083,Logistics,NA,enterprise,customer,150,2024-04-17
10084,Account 10084,Healthcare,EMEA,startup,churned,75,2025-04-05
10085,Account 10085,Fintech,EMEA,startup,churned,75,2025-01-16
10086,Account 10086,Logistics,EMEA,startup,customer,25,2025-01-31
10087,Account 10087,Logistics,EMEA,mid_market,trial,25,2024-05-19
10088,Account 10088,Logistics,LATAM,mid_market,customer,150,2024-07-18
10089,Account 10089,Retail,NA,startup,customer,400,2025-01-29
10090,Account 10090,SaaS,NA,mid_market,customer,400,2024-07-13
10091,Account 10091,Healthcare,NA,startup,lead,25,2025-03-27
10092,Account 10092,Healthcare,APAC,mid_market,customer,150,2024-01-26
10093,Account 10093,Logistics,NA,mid_market,customer,25,2024-02-17
10094,Account 10094,Fintech,NA,startup,customer,,2025-04-18
10095,Account 10095,Fintech,NA,startup,churned,75,2025-02-04
10096,Account 10096,SaaS,APAC,mid_market,customer,400,2024-01-29
10097,Account 10097,Logistics,NA,startup,customer,75,2025-08-07
10098,Account 10098,Retail,EMEA,startup,customer,400,2024-01-04
10099,Account 10099,SaaS,NA,startup,customer,150,2025-09-13
10100,Account 10100,Healthcare,LATAM,enterprise,lead,400,2025-04-19
10101,Account 10101,Healthcare,NA,enterprise,customer,75,2025-10-04
10102,Account 10102,Healthcare,NA,mid_market,customer,2500,2025-09-08
10103,Account 10103,Logistics,APAC,startup,customer,150,2024-07-22
10104,Account 10104,SaaS,APAC,enterprise,customer,400,2025-05-06
10105,Account 10105,Fintech,NA,mid_market,customer,900,2024-05-17
10106,Account 10106,SaaS,NA,mid_market,lead,,2024-11-02
10107,Account 10107,Fintech,EMEA,mid_market,customer,75,2024-06-05
10108,Account 10108,Logistics,APAC,startup,customer,75,2024-11-11
10109,Account 10109,Logistics,NA,startup,customer,75,2025-07-21
10110,Account 10110,SaaS,NA,enterprise,trial,75,2024-10-10
10111,Account 10111,Retail,EMEA,mid_market,customer,150,2024-03-01
10112,Account 10112,Fintech,EMEA,startup,customer,,2024-07-30
10113,Account 10113,SaaS,APAC,startup,customer,,2025-05-26
10114,Account 10114,Fintech,EMEA,mid_market,lead,150,2024-12-05
10115,Account 10115,SaaS,NA,startup,customer,400,2024-12-30
10116,Account 10116,Healthcare,APAC,enterprise,customer,900,2024-10-07
10117,Account 10117,Logistics,APAC,mid_market,trial,2500,2024-07-09
10118,Account 10118,Healthcare,APAC,mid_market,trial,75,2025-01-23
10119,Account 10119,Retail,NA,mid_market,trial,150,2025-02-15
10120,Account 10120,Healthcare,NA,mid_market,customer,900,2025-08-06
10121,Account 10121,SaaS,EMEA,mid_market,lead,75,2025-02-05
10122,Account 10122,SaaS,NA,mid_market,churned,150,2025-10-08
10123,Account 10123,Fintech,LATAM,startup,customer,,2025-06-21
10124,Account 10124,Fintech,NA,startup,customer,,2024-02-21
10125,Account 10125,Logistics,EMEA,startup,churned,2500,2024-09-11
10126,Account 10126,Logistics,APAC,mid_market,lead,900,2024-09-07
10127,Account 10127,Logistics,NA,startup,customer,75,2024-01-02
10128,Account 10128,Retail,NA,startup,customer,75,2024-04-27
10129,Account 10129,Healthcare,EMEA,startup,customer,150,2025-05-10
10130,Account 10130,Retail,EMEA,mid_market,customer,150,2024-08-16
10131,Account 10131,Healthcare,NA,startup,customer,150,2024-04-06
10132,Account 10132,Retail,EMEA,enterprise,lead,400,2024-07-05
10133,Account 10133,Retail,APAC,mid_market,customer,150,2024-06-27
10134,Account 10134,Retail,NA,startup,churned,400,2024-04-23
10135,Account 10135,Retail,NA,mid_market,churned,75,2024-03-06
10136,Account 10136,SaaS,NA,startup,lead,75,2025-05-11
10137,Account 10137,Retail,NA,enterprise,customer,25,2025-06-19
10138,Account 10138,Fintech,NA,mid_market,customer,75,2024-11-18
10139,Account 10139,Retail,NA,mid_market,customer,900,2025-02-04
10140,Account 10140,Healthcare,EMEA,startup,lead,150,2025-08-20
10141,Account 10141,Logistics,NA,mid_market,churned,75,2025-07-01
10142,Account 10142,Fintech,LATAM,mid_market,customer,400,2024-01-22
10143,Account 10143,Logistics,NA,enterprise,lead,150,2025-09-11
10144,Account 10144,Logistics,NA,mid_market,lead,25,2024-02-13
10145,Account 10145,Fintech,EMEA,mid_market,customer,75,2024-01-18
10146,Account 10146,Healthcare,APAC,startup,trial,75,2024-09-19
10147,Account 10147,Healthcare,NA,startup,customer,400,2025-04-29
10148,Account 10148,Retail,NA,mid_market,customer,75,2024-02-22
10149,Account 10149,Retail,NA,mid_market,customer,25,2024-07-09
10150,Account 10150,Logistics,NA,startup,customer,25,2024-06-19
10151,Account 10151,Fintech,NA,enterprise,customer,150,2024-09-15
10152,Account 10152,Healthcare,NA,enterprise,lead,25,2025-10-02
10153,Account 10153,Healthcare,NA,startup,churned,900,2024-08-03
10154,Account 10154,Logistics,NA,mid_market,customer,25,2024-05-15
10155,Account 10155,Fintech,LATAM,startup,trial,400,2024-03-20
10156,Account 10156,Healthcare,EMEA,mid_market,customer,150,2024-05-08
10157,Account 10157,SaaS,NA,startup,churned,150,2024-03-27
10158,Account 10158,Logistics,NA,mid_market,lead,25,2025-01-07
10159,Account 10159,Fintech,NA,mid_market,customer,900,2024-09-30
10160,Account 10160,Fintech,NA,mid_market,customer,2500,2024-11-19
10161,Account 10161,Healthcare,EMEA,startup,customer,25,2025-06-24
10162,Account 10162,Healthcare,APAC,enterprise,churned,75,2025-01-12
10163,Account 10163,Logistics,APAC,startup,customer,2500,2024-04-10
10164,Account 10164,Healthcare,LATAM,startup,churned,150,2024-09-01
10165,Account 10165,Healthcare,LATAM,mid_market,trial,25,2024-07-22
10166,Account 10166,SaaS,LATAM,startup,customer,75,2025-06-21
10167,Account 10167,SaaS,NA,enterprise,customer,400,2024-07-18
10168,Account 10168,Fintech,NA,enterprise,customer,400,2024-03-31
10169,Account 10169,Logistics,NA,startup,customer,400,2025-04-23
10170,Account 10170,Logistics,NA,enterprise,churned,,2024-10-05
10171,Account 10171,Retail,NA,startup,customer,150,2024-03-03
10172,Account 10172,Retail,APAC,mid_market,customer,75,2025-03-24
10173,Account 10173,Fintech,EMEA,startup,customer,150,2024-05-16
10174,Account 10174,SaaS,NA,enterprise,customer,75,2025-07-18
10175,Account 10175,SaaS,NA,startup,customer,75,2025-06-25
10176,Account 10176,Fintech,NA,startup,customer,25,2024-08-28
10177,Account 10177,Fintech,NA,mid_market,lead,75,2024-12-27
10178,Account 10178,SaaS,APAC,enterprise,lead,400,2025-01-04
10179,Account 10179,Fintech,EMEA,enterprise,customer,25,2025-02-28
10180,Account 10180,SaaS,EMEA,mid_market,customer,150,2024-02-14
10181,Account 10181,Retail,NA,enterprise,churned,400,2024-07-30
10182,Account 10182,Logistics,NA,enterprise,customer,400,2024-04-20
10183,Account 10183,Retail,NA,mid_market,lead,900,2025-03-29
10184,Account 10184,Healthcare,EMEA,startup,trial,900,2024-02-14
10185,Account 10185,Healthcare,EMEA,mid_market,trial,400,2024-12-02
10186,Account 10186,Fintech,NA,mid_market,churned,25,2025-04-18
10187,Account 10187,SaaS,LATAM,startup,trial,150,2025-09-08
10188,Account 10188,Healthcare,NA,startup,customer,400,2024-07-06
10189,Account 10189,Healthcare,APAC,mid_market,churned,75,2024-01-06
10190,Account 10190,SaaS,NA,startup,churned,25,2025-04-15
10191,Account 10191,Healthcare,NA,enterprise,trial,75,2024-01-02
10192,Account 10192,Fintech,APAC,startup,lead,150,2024-02-13
10193,Account 10193,SaaS,NA,startup,trial,150,2025-10-05
10194,Account 10194,Retail,NA,enterprise,lead,75,2025-07-14
10195,Account 10195,Healthcare,NA,startup,trial,900,2025-04-04
10196,Account 10196,Retail,NA,startup,customer,2500,2025-06-27
10197,Account 10197,Retail,EMEA,mid_market,customer,75,2024-02-18
10198,Account 10198,Logistics,APAC,enterprise,customer,2500,2024-02-27
10199,Account 10199,Logistics,APAC,startup,customer,25,2024-07-14
10200,Account 10200,Retail,NA,startup,trial,2500,2024-01-16
10201,Account 10201,Logistics,NA,mid_market,customer,,2025-07-31
10202,Account 10202,Healthcare,NA,enterprise,customer,25,2024-02-06
10203,Account 10203,Logistics,NA,mid_market,customer,400,2024-12-19
10204,Account 10204,Retail,NA,startup,churned,,2025-07-08
10205,Account 10205,Retail,LATAM,startup,customer,2500,2025-04-22
10206,Account 10206,Logistics,APAC,startup,lead,,2024-06-01
10207,Account 10207,Healthcare,EMEA,startup,trial,150,2024-11-01
10208,Account 10208,Retail,NA,mid_market,customer,25,2024-12-22
10209,Account 10209,Fintech,NA,startup,churned,900,2025-05-14
10210,Account 10210,Logistics,NA,mid_market,customer,400,2024-10-04
10211,Account 10211,Retail,NA,mid_market,customer,400,2024-07-04
10212,Account 10212,Retail,NA,mid_market,customer,150,2025-06-01
10213,Account 10213,Healthcare,NA,startup,trial,150,2025-07-30
10214,Account 10214,Logistics,NA,enterprise,customer,25,2024-11-13
10215,Account 10215,SaaS,LATAM,mid_market,customer,400,2024-01-19
10216,Account 10216,SaaS,NA,mid_market,customer,25,2024-11-21
10217,Account 10217,Healthcare,LATAM,startup,customer,400,2025-08-01
10218,Account 10218,Retail,NA,startup,trial,900,2025-10-04
10219,Account 10219,Logistics,NA,enterprise,customer,150,2024-09-17
10220,Account 10220,Healthcare,NA,startup,trial,150,2024-04-07
10221,Account 10221,Retail,NA,startup,churned,75,2025-01-06
10222,Account 10222,Healthcare,NA,mid_market,trial,,2025-06-23
10223,Account 10223,Logistics,NA,mid_market,lead,400,2025-09-06
10224,Account 10224,Retail,APAC,enterprise,customer,75,2024-02-03
10225,Account 10225,Healthcare,NA,startup,customer,75,2024-07-07
10226,Account 10226,Logistics,EMEA,enterprise,customer,75,2024-11-06
10227,Account 10227,SaaS,NA,startup,customer,150,2024-03-04
10228,Account 10228,Logistics,NA,mid_market,churned,,2025-07-30
10229,Account 10229,SaaS,NA,mid_market,customer,400,2024-03-13
10230,Account 10230,Fintech,NA,startup,customer,75,2025-03-08
10231,Account 10231,Logistics,LATAM,startup,customer,900,2025-08-20
10232,Account 10232,Retail,APAC,startup,lead,150,2025-03-21
10233,Account 10233,Logistics,EMEA,enterprise,customer,900,2025-05-11
10234,Account 10234,Retail,NA,mid_market,trial,75,2024-06-20
10235,Account 10235,Retail,NA,enterprise,customer,400,2025-06-21
10236,Account 10236,Fintech,APAC,enterprise,lead,2500,2024-09-29
10237,Account 10237,SaaS,NA,mid_market,churned,75,2024-02-09
10238,Account 10238,SaaS,NA,mid_market,customer,400,2024-08-26
10239,Account 10239,Fintech,NA,startup,customer,,2024-08-15
10240,Account 10240,SaaS,APAC,startup,customer,25,2024-12-04
10241,Account 10241,Healthcare,EMEA,enterprise,lead,25,2024-06-21
10242,Account 10242,Retail,EMEA,mid_market,customer,400,2024-10-27
10243,Account 10243,Logistics,APAC,startup,customer,75,2024-10-05
10244,Account 10244,Healthcare,NA,mid_market,customer,25,2024-07-31
10245,Account 10245,Logistics,APAC,mid_market,customer,150,2025-03-28
10246,Account 10246,Logistics,NA,enterprise,customer,400,2024-07-17
10247,Account 10247,Logistics,EMEA,mid_market,customer,75,2025-05-12
10248,Account 10248,Healthcare,NA,startup,customer,75,2024-06-12
10249,Account 10249,Fintech,LATAM,startup,customer,900,2025-07-16
10250,Account 10250,Logistics,NA,mid_market,customer,150,2024-08-25
10251,Account 10251,Fintech,NA,mid_market,customer,900,2024-01-27
10252,Account 10252,Healthcare,NA,enterprise,churned,150,2024-04-07
10253,Account 10253,SaaS,NA,mid_market,customer,,2025-06-08
10254,Account 10254,Retail,NA,startup,customer,400,2025-07-20
10255,Account 10255,Retail,EMEA,startup,customer,25,2024-05-17
10256,Account 10256,SaaS,NA,mid_market,customer,2500,2025-01-26
10257,Account 10257,Fintech,APAC,enterprise,customer,150,2025-01-08
10258,Account 10258,Healthcare,NA,startup,customer,25,2024-03-27
10259,Account 10259,Healthcare,EMEA,startup,trial,25,2024-10-20
10260,Account 10260,Logistics,NA,mid_market,customer,400,2025-03-27
10261,Account 10261,Fintech,EMEA,startup,trial,25,2025-09-20
10262,Account 10262,Logistics,EMEA,enterprise,trial,75,2025-07-04
10263,Account 10263,Healthcare,NA,startup,customer,25,2024-03-04
10264,Account 10264,Logistics,LATAM,startup,customer,150,2024-06-03
10265,Account 10265,Fintech,NA,enterprise,customer,150,2024-10-10
10266,Account 10266,SaaS,NA,startup,customer,150,2024-04-07
10267,Account 10267,SaaS,EMEA,startup,lead,75,2025-01-05
10268,Account 10268,Fintech,APAC,startup,churned,25,2024-01-06
10269,Account 10269,Logistics,NA,startup,trial,400,2024-03-14
10270,Account 10270,SaaS,NA,startup,trial,150,2024-01-31
10271,Account 10271,Fintech,APAC,startup,customer,400,2024-07-11
10272,Account 10272,SaaS,EMEA,startup,customer,25,2025-05-10
10273,Account 10273,Logistics,LATAM,startup,customer,25,2024-04-25
10274,Account 10274,Retail,NA,mid_market,customer,75,2025-10-03
10275,Account 10275,Retail,EMEA,mid_market,customer,150,2024-06-24
10276,Account 10276,Retail,NA,startup,trial,150,2024-01-30
10277,Account 10277,Retail,LATAM,startup,customer,900,2024-08-06
10278,Account 10278,Retail,NA,mid_market,customer,150,2025-05-01
10279,Account 10279,SaaS,EMEA,enterprise,trial,150,2024-03-10
10280,Account 10280,Logistics,NA,enterprise,customer,400,2024-02-16
10281,Account 10281,Retail,EMEA,startup,customer,25,2025-07-06
10282,Account 10282,Retail,EMEA,startup,trial,150,2025-01-19
10283,Account 10283,Fintech,NA,startup,customer,75,2024-08-11
10284,Account 10284,Logistics,APAC,startup,customer,150,2025-05-06
10285,Account 10285,Fintech,NA,mid_market,lead,25,2025-07-02
10286,Account 10286,SaaS,EMEA,startup,customer,900,2024-08-21
10287,Account 10287,Logistics,NA,startup,customer,,2024-12-30
10288,Account 10288,Fintech,NA,startup,customer,25,2024-01-08
10289,Account 10289,SaaS,NA,mid_market,customer,400,2024-07-17
10290,Account 10290,Retail,NA,startup,customer,400,2025-01-21
10291,Account 10291,Fintech,NA,enterprise,customer,75,2024-05-08
10292,Account 10292,Logistics,EMEA,startup,trial,900,2025-10-06
10293,Account 10293,Healthcare,EMEA,enterprise,customer,400,2025-09-23
10294,Account 10294,SaaS,EMEA,startup,trial,2500,2024-06-16
10295,Account 10295,Logistics,NA,enterprise,customer,,2024-09-14
10296,Account 10296,Healthcare,NA,enterprise,customer,25,2024-05-03
10297,Account 10297,Fintech,NA,enterprise,trial,150,2024-11-23
10298,Account 10298,Retail,EMEA,enterprise,customer,150,2024-03-21
10299,Account 10299,Healthcare,APAC,mid_market,customer,25,2024-09-11
10300,Account 10300,SaaS,NA,mid_market,customer,75,2024-12-26
10301,Account 10301,Retail,EMEA,mid_market,trial,,2025-02-01
10302,Account 10302,Healthcare,NA,startup,customer,25,2025-01-22
10303,Account 10303,Retail,NA,mid_market,customer,150,2024-05-23
10304,Account 10304,Logistics,NA,mid_market,customer,900,2025-05-29
10305,Account 10305,Retail,NA,enterprise,trial,75,2025-03-25
10306,Account 10306,Retail,EMEA,mid_market,customer,150,2025-05-04
10307,Account 10307,Fintech,APAC,startup,churned,,2024-10-31
10308,Account 10308,Fintech,NA,mid_market,customer,150,2025-08-03
10309,Account 10309,Healthcare,NA,startup,customer,25,2024-09-10
10310,Account 10310,Logistics,EMEA,startup,customer,25,2025-06-07
10311,Account 10311,Healthcare,LATAM,mid_market,churned,,2024-05-12
10312,Account 10312,Fintech,EMEA,startup,customer,75,2024-06-09
10313,Account 10313,Retail,NA,startup,customer,150,2024-12-08
10314,Account 10314,Logistics,EMEA,startup,customer,25,2024-12-27
10315,Account 10315,Logistics,NA,startup,customer,150,2025-04-30
10316,Account 10316,Fintech,LATAM,startup,customer,2500,2024-07-12
10317,Account 10317,Retail,NA,startup,lead,150,2025-07-21
10318,Account 10318,Healthcare,EMEA,mid_market,lead,,2024-08-02
10319,Account 10319,Healthcare,NA,startup,customer,75,2024-12-13
10320,Account 10320,Fintech,NA,enterprise,customer,150,2025-08-28
10321,Account 10321,SaaS,APAC,enterprise,customer,900,2024-12-16
10322,Account 10322,Fintech,EMEA,mid_market,customer,150,2025-03-19
10323,Account 10323,Healthcare,NA,startup,customer,75,2025-08-13
10324,Account 10324,Logistics,APAC,mid_market,customer,900,2025-09-25
10325,Account 10325,Logistics,APAC,enterprise,lead,150,2024-11-20
10326,Account 10326,SaaS,NA,mid_market,trial,150,2024-09-27
10327,Account 10327,Retail,NA,enterprise,customer,,2024-05-08
10328,Account 10328,SaaS,NA,mid_market,customer,75,2024-12-15
10329,Account 10329,Retail,EMEA,mid_market,churned,75,2025-08-19
10330,Account 10330,Fintech,NA,startup,customer,25,2024-11-12
10331,Account 10331,Healthcare,NA,mid_market,customer,150,2024-08-14
10332,Account 10332,Retail,APAC,startup,customer,75,2024-03-10
10333,Account 10333,Healthcare,APAC,mid_market,customer,400,2024-09-10
10334,Account 10334,Logistics,APAC,enterprise,customer,75,2024-06-02
10335,Account 10335,Healthcare,LATAM,startup,customer,400,2025-09-26
10336,Account 10336,Logistics,EMEA,mid_market,churned,75,2024-12-08
10337,Account 10337,Retail,EMEA,startup,customer,75,2024-03-30
10338,Account 10338,Fintech,EMEA,mid_market,customer,75,2024-02-13
10339,Account 10339,Retail,NA,startup,customer,400,2025-07-06
10340,Account 10340,Healthcare,NA,enterprise,trial,150,2025-08-28
10341,Account 10341,Healthcare,NA,startup,trial,75,2025-05-10
10342,Account 10342,SaaS,EMEA,enterprise,lead,900,2024-03-21
10343,Account 10343,SaaS,NA,enterprise,churned,150,2024-03-04
10344,Account 10344,Healthcare,NA,mid_market,customer,75,2024-05-08
10345,Account 10345,SaaS,EMEA,mid_market,customer,2500,2025-05-03
10346,Account 10346,Logistics,NA,mid_market,customer,75,2025-05-12
10347,Account 10347,Logistics,NA,enterprise,trial,25,2025-06-28
10348,Account 10348,Retail,APAC,startup,trial,150,2024-03-04
10349,Account 10349,Retail,APAC,mid_market,customer,25,2024-04-09
10350,Account 10350,Healthcare,NA,startup,customer,75,2025-08-08
10351,Account 10351,SaaS,NA,mid_market,customer,400,2025-08-26
10352,Account 10352,Fintech,NA,startup,trial,25,2025-04-16
10353,Account 10353,Healthcare,APAC,mid_market,customer,900,2024-03-09
10354,Account 10354,Logistics,APAC,mid_market,customer,2500,2024-02-14
10355,Account 10355,Fintech,NA,mid_market,trial,400,2024-02-06
10356,Account 10356,Healthcare,EMEA,mid_market,customer,400,2025-03-25
10357,Account 10357,Fintech,NA,mid_market,churned,400,2025-07-03
10358,Account 10358,SaaS,NA,mid_market,customer,,2025-02-14
10359,Account 10359,SaaS,LATAM,mid_market,customer,75,2024-06-19
10360,Account 10360,Fintech,NA,mid_market,customer,75,2025-05-07
10361,Account 10361,SaaS,NA,enterprise,trial,150,2024-02-08
10362,Account 10362,SaaS,NA,startup,customer,150,2025-06-22
10363,Account 10363,Fintech,EMEA,startup,customer,75,2025-08-02
10364,Account 10364,Fintech,APAC,startup,customer,400,2025-04-11
10365,Account 10365,Healthcare,LATAM,mid_market,customer,25,2025-07-25
10366,Account 10366,SaaS,NA,startup,trial,2500,2025-01-16
10367,Account 10367,Fintech,NA,mid_market,lead,75,2024-10-31
10368,Account 10368,Healthcare,APAC,mid_market,customer,25,2024-07-28
10369,Account 10369,Logistics,NA,startup,churned,25,2025-08-22
10370,Account 10370,Retail,APAC,enterprise,lead,75,2025-03-29
10371,Account 10371,Logistics,EMEA,mid_market,trial,75,2024-05-03
10372,Account 10372,Fintech,NA,startup,customer,25,2025-09-14
10373,Account 10373,Healthcare,APAC,startup,customer,75,2024-02-08
10374,Account 10374,Healthcare,NA,startup,lead,75,2025-01-16
10375,Account 10375,Logistics,NA,startup,customer,150,2024-05-03
10376,Account 10376,Logistics,NA,startup,customer,150,2025-03-07
10377,Account 10377,Logistics,NA,enterprise,customer,75,2024-09-25
10378,Account 10378,Retail,EMEA,mid_market,trial,75,2024-10-11
10379,Account 10379,Healthcare,EMEA,startup,trial,25,2025-03-12
10380,Account 10380,Healthcare,LATAM,mid_market,customer,25,2025-05-06
10381,Account 10381,Logistics,LATAM,mid_market,customer,75,2024-09-04
10382,Account 10382,Fintech,NA,enterprise,customer,400,2025-10-10
10383,Account 10383,Fintech,NA,mid_market,customer,,2024-11-20
10384,Account 10384,Logistics,EMEA,mid_market,customer,2500,2024-04-14
10385,Account 10385,Fintech,LATAM,startup,churned,150,2024-01-05
10386,Account 10386,Fintech,NA,enterprise,customer,150,2024-05-11
10387,Account 10387,Healthcare,NA,mid_market,customer,75,2025-03-25
10388,Account 10388,Fintech,NA,enterprise,churned,900,2024-12-16
10389,Account 10389,Logistics,NA,startup,trial,400,2024-08-07
10390,Account 10390,Logistics,EMEA,enterprise,customer,900,2024-11-08
10391,Account 10391,Fintech,NA,mid_market,customer,2500,2025-06-28
10392,Account 10392,Healthcare,APAC,startup,lead,150,2025-01-06
10393,Account 10393,Logistics,APAC,mid_market,customer,400,2024-02-07
10394,Account 10394,Retail,APAC,mid_market,trial,900,2024-02-01
10395,Account 10395,Fintech,NA,startup,trial,75,2024-11-09
10396,Account 10396,Healthcare,NA,mid_market,customer,2500,2024-09-19
10397,Account 10397,Retail,EMEA,enterprise,customer,25,2025-07-06
10398,Account 10398,Retail,APAC,startup,customer,,2025-01-13
10399,Account 10399,SaaS,NA,mid_market,customer,900,2025-05-06
10400,Account 10400,Fintech,APAC,mid_market,customer,25,2025-01-15
10401,Account 10401,Logistics,NA,startup,customer,400,2024-08-12
10402,Account 10402,Fintech,APAC,enterprise,customer,25,2025-03-03
10403,Account 10403,Fintech,NA,mid_market,trial,900,2025-02-07
10404,Account 10404,Fintech,NA,startup,trial,900,2025-04-13
10405,Account 10405,SaaS,NA,enterprise,churned,400,2024-05-03
10406,Account 10406,SaaS,NA,enterprise,customer,900,2025-02-21
10407,Account 10407,Fintech,NA,startup,trial,25,2024-07-04
10408,Account 10408,Logistics,NA,enterprise,customer,75,2025-05-28
10409,Account 10409,SaaS,NA,startup,customer,150,2025-06-03
10410,Account 10410,Fintech,EMEA,enterprise,lead,25,2025-02-10
10411,Account 10411,SaaS,NA,mid_market,trial,150,2025-09-07
