opportunity_id,account_id,stage,amount,created_at,closed_at
89,10117,closed_won,26639.4,2025-09-18,2025-10-20
90,10118,closed_won,39847.32,2025-10-17,2026-01-17
91,10119,prospecting,44233.23,2025-07-15,2025-10-01
92,10123,qualified,11301.77,2025-12-02,2025-06-18
93,10124,closed_won,11593.03,2025-09-23,2025-10-14
94,10126,prospecting,25517.76,2025-05-24,2026-01-12
95,10127,closed_won,11890.75,2025-09-08,2025-08-04
96,10128,qualified,13419.17,2026-02-23,2025-08-14
97,10129,proposal,10079.57,2025-10-06,2025-07-18
98,10130,closed_won,27226.25,2025-10-02,2025-09-09
99,10132,closed_lost,198950.13,2025-06-19,2025-06-30
100,10133,qualified,34641.7,2026-02-11,2025-12-04
101,10134,closed_lost,11044.68,2025-08-01,2025-12-22
102,10135,proposal,45409.94,2025-09-08,2026-01-31
103,10138,qualified,54537.37,2025-09-13,2025-12-23
104,10139,proposal,52550.53,2025-08-05,2025-05-08
105,10140,prospecting,18441.67,2025-01-20,2025-12-21
106,10141,proposal,34355.51,2025-06-04,2026-01-24
107,10142,closed_lost,66064.59,2025-11-17,2025-06-08
108,10143,qualified,137439.12,2025-08-22,2025-08-28
109,10144,proposal,71348.79,2025-04-07,2025-12-29
110,10145,closed_lost,70487.3,2025-12-05,2025-07-07
111,10146,closed_won,14573.05,2025-02-20,2025-10-09
112,10147,closed_lost,14450.36,2025-10-23,2025-10-12
113,10148,proposal,27763.45,2025-03-12,2025-12-04
114,10149,prospecting,31895.03,2025-03-30,2026-02-01
115,10150,prospecting,15431.19,2025-05-31,2025-08-25
116,10151,qualified,133944.51,2025-06-23,2025-08-12
117,10152,proposal,167664.52,2026-02-18,2025-11-01
118,10153,qualified,9173.55,2025-02-14,2025-08-13
119,10154,proposal,33260.15,2025-09-02,2025-09-08
120,10155,proposal,19516.59,2025-02-03,2025-09-02
121,10157,closed_lost,19573.16,2025-05-02,2026-01-01
122,10159,proposal,42033.3,2025-02-19,2026-02-23
123,10160,closed_lost,57049.38,2025-09-28,2025-10-29
124,10162,closed_lost,133981.69,2025-10-11,2025-05-07
125,10163,qualified,18096.19,2025-07-09,2026-01-13
126,10164,prospecting,13931.85,2025-10-16,2026-01-07
127,10165,closed_won,53481.32,2025-11-13,2025-08-10
128,10166,closed_lost,19428.37,2025-03-17,2025-10-28
129,10168,closed_won,167730.63,2025-09-19,2025-10-15
130,10169,qualified,14516.74,2025-12-01,2025-10-13
131,10170,prospecting,157097.34,2025-03-31,2025-12-21
132,10172,closed_lost,33293.57,2025-10-04,2025-07-05
133,10173,closed_lost,18743.47,2025-07-30,2025-10-05
134,10174,prospecting,123268.86,2025-05-24,2026-01-08
135,10175,proposal,14631.04,2025-05-14,2025-12-10
136,10176,closed_lost,18221.27,2025-02-02,2026-01-24
137,10177,closed_won,66516.16,2025-04-27,2025-05-16
138,10178,closed_won,162592.51,2025-10-01,2025-07-05
139,10179,proposal,87594.22,2025-05-17,2025-10-06
140,10180,proposal,39141.74,2026-02-15,2026-02-22
141,10182,closed_won,153209.63,2025-09-30,2025-08-01
142,10183,closed_won,59678.22,2025-04-15,2025-06-07
143,10184,closed_lost,16656.92,2025-09-20,2025-11-29
144,10185,closed_lost,33256.9,2026-01-10,2025-05-15
145,10186,prospecting,25397.87,2025-07-31,2026-02-16
146,10187,proposal,12280.84,2025-09-05,2025-05-01
147,10188,prospecting,7916.64,2025-12-30,2025-08-07
148,10189,prospecting,66545.21,2025-05-12,2025-10-19
149,10190,closed_won,16197.26,2025-02-21,2025-06-19
150,10193,closed_won,11747.46,2025-11-11,2025-12-12
151,10194,closed_won,128040.09,2025-03-14,2026-01-06
152,10195,prospecting,9445.64,2025-09-27,2025-05-06
153,10196,prospecting,19474.48,2025-01-31,2025-12-10
154,10197,prospecting,36523.63,2025-03-01,2026-02-13
155,10199,qualified,13123.26,2025-06-07,2025-10-30
156,10200,prospecting,8819.29,2025-07-28,2025-05-31
157,10201,proposal,29762.94,2025-02-13,2025-09-06
158,10202,proposal,108952.75,2025-01-23,2025-05-02
159,10203,closed_lost,36098.22,2025-12-03,2025-05-06
160,10204,closed_lost,12546.35,2025-11-16,2025-11-30
161,10205,qualified,9630.65,2025-02-15,2025-11-28
162,10206,proposal,9030.94,2026-02-13,2025-07-27
163,10207,closed_lost,10649.14,2025-07-13,2026-01-14
164,10208,closed_won,34507.29,2025-08-19,2025-05-31
165,10210,qualified,28070.83,2025-04-19,2025-05-12
166,10213,closed_lost,12782.36,2025-12-13,2025-09-05
167,10214,qualified,190802.43,2025-09-03,2025-08-29
168,10216,prospecting,27497.93,2025-11-04,2025-08-07
169,10219,closed_won,239536.22,2026-01-03,2025-10-26
170,10221,closed_lost,17185.39,2026-01-21,2025-10-21
171,10222,proposal,33413.72,2025-11-04,2025-12-15
172,10223,closed_lost,70760.65,2025-03-17,2025-08-22
173,10224,prospecting,104909.65,2025-11-26,2025-10-30
174,10225,proposal,15231.54,2025-11-07,2025-08-08
175,10226,qualified,224594.93,2025-10-08,2026-02-07
176,10227,closed_won,20286.45,2025-09-28,2025-07-12
177,10228,closed_won,29476.22,2025-08-21,2025-05-23
178,10230,closed_won,7361.79,2025-06-01,2025-11-06
179,10232,closed_lost,9627.93,2025-04-29,2025-08-22
180,10233,proposal,142340.12,2025-04-30,2025-11-08
181,10234,proposal,43497.92,2025-01-17,2025-05-24
182,10235,closed_lost,139338.89,2025-07-27,2025-05-26
183,10236,qualified,224780.08,2025-01-18,2025-08-12
184,10237,prospecting,53025.1,2025-04-17,2026-02-01
185,10238,proposal,41083.86,2025-11-18,2025-07-18
186,10239,closed_won,9322.91,2025-06-19,2025-08-16
187,10241,qualified,193203.67,2025-12-15,2025-07-10
188,10242,qualified,27156.08,2025-09-16,2026-01-16
189,10243,qualified,11135.21,2025-01-30,2025-11-26
190,10245,closed_won,34614.68,2025-07-20,2026-01-29
191,10247,closed_won,55273.61,2026-01-15,2025-07-28
192,10248,closed_lost,12700.04,2025-10-01,2025-08-18
193,10250,closed_lost,28769.69,2025-03-01,2025-12-25
194,10253,closed_lost,61423.61,2025-01-19,2026-01-04
195,10254,proposal,9118.46,2026-02-23,2026-01-02
196,10255,prospecting,15782.8,2025-08-07,2025-11-21
197,10256,prospecting,58536.96,2025-04-01,2025-10-23
198,10257,closed_lost,198124.61,2026-01-14,2025-12-22
199,10258,prospecting,10341.42,2025-11-24,2025-11-15
200,10259,prospecting,13213.01,2025-05-02,2026-02-04
201,10260,closed_lost,43110.72,2026-02-15,2025-05-02
202,10261,proposal,12633.7,2025-05-10,2025-08-02
203,10262,prospecting,196710.01,2025-01-18,2025-10-03
204,10263,closed_won,12271.55,2025-11-06,2025-06-13
205,10264,proposal,16827.43,2025-05-29,2025-06-17
206,10265,prospecting,217489.01,2026-01-13,2025-07-20
207,10267,closed_won,9691.27,2025-11-02,2025-07-29
208,10268,proposal,19871.24,2025-07-11,2025-06-14
209,10269,closed_lost,12279.29,2025-07-25,2025-12-16
210,10270,closed_won,19508.63,2025-02-25,2025-11-10
211,10274,prospecting,41707.68,2025-07-06,2025-12-30
212,10275,closed_won,59003.28,2025-04-22,2025-05-28
213,10277,closed_won,19660.11,2025-03-07,2025-05-23
214,10282,prospecting,18111.76,2025-06-19,2025-08-14
215,10283,prospecting,13081.92,2025-01-03,2025-05-12
216,10285,proposal,68242.5,2025-09-16,2025-10-07
217,10286,proposal,15726.51,2025-03-22,2025-06-10
218,10287,prospecting,8661.17,2025-01-18,2025-06-01
219,10289,prospecting,62611.34,2025-12-01,2025-09-17
220,10290,prospecting,8475.46,2025-06-06,2025-11-06
221,10291,closed_won,237644.7,2025-03-29,2026-01-29
222,10292,closed_won,9966.67,2025-02-10,2025-09-13
223,10293,closed_won,246318.69,2025-01-11,2025-05-27
224,10294,prospecting,12033.26,2025-01-13,2026-01-21
225,10297,closed_won,152730.72,2025-11-10,2025-09-28
226,10298,qualified,124824.29,2025-12-19,2025-08-06
227,10300,qualified,69751.77,2025-05-09,2025-07-08
228,10301,prospecting,33109.67,2025-09-24,2025-09-30
229,10302,qualified,15463.85,2026-01-03,2025-10-06
230,10303,qualified,43681.15,2026-01-02,2025-12-22
231,10304,closed_won,29872.82,2025-08-14,2025-05-27
232,10305,proposal,104570.62,2025-03-27,2026-02-19
233,10306,proposal,34104.72,2025-03-03,2025-11-02
234,10307,proposal,10494.15,2025-04-01,2025-09-06
235,10308,closed_lost,38214.56,2026-01-20,2026-02-04
236,10309,qualified,19800.3,2026-01-07,2025-12-30
237,10310,closed_lost,18306.9,2025-08-06,2026-01-07
238,10313,qualified,15208.16,2025-07-21,2025-08-19
239,10314,closed_won,19895.97,2025-08-19,2025-05-05
240,10315,proposal,14468.47,2025-08-31,2025-07-27
241,10317,prospecting,16056.16,2025-07-11,2026-01-22
242,10318,qualified,41380.64,2025-09-17,2025-06-22
243,10319,closed_lost,18802.85,2025-05-08,2025-10-15
244,10320,qualified,110808.79,2025-04-19,2026-02-03
245,10321,qualified,103141.31,2025-03-15,2026-02-02
246,10322,closed_lost,55796.82,2026-01-01,2025-06-16
247,10323,prospecting,18805.94,2025-03-04,2025-12-30
248,10324,prospecting,65057.98,2025-12-23,2025-08-06
249,10325,proposal,243665.82,2025-10-12,2025-07-09
250,10327,closed_lost,148337.97,2025-09-07,2025-08-06
251,10328,proposal,58312.14,2026-02-04,2025-07-02
252,10329,proposal,47816.23,2026-01-31,2025-11-01
253,10330,qualified,17642.96,2025-09-03,2025-10-20
254,10331,prospecting,54472.49,2025-10-12,2026-01-30
255,10332,proposal,14782.97,2025-07-19,2026-02-19
256,10333,proposal,66654.51,2025-07-09,2026-01-29
257,10334,prospecting,175770.6,2025-01-25,2025-09-20
258,10335,proposal,16559.38,2025-09-11,2025-05-15
259,10336,closed_lost,38454.49,2025-10-01,2025-09-09
260,10337,closed_won,13013.97,2025-02-05,2026-01-06
261,10338,closed_won,28375.71,2025-07-06,2025-07-23
262,10339,qualified,15312.24,2026-01-25,2025-05-04
263,10340,closed_won,204208.52,2025-11-19,2025-05-25
264,10341,prospecting,12760.81,2025-11-01,2025-06-23
265,10342,closed_lost,98345.16,2025-02-17,2025-09-03
266,10343,closed_won,200469.23,2025-07-25,2025-05-15
267,10344,prospecting,43284.93,2025-12-01,2025-11-06
268,10345,closed_won,53969.39,2025-12-12,2025-07-08
269,10346,closed_lost,28954.43,2025-07-02,2025-07-24
270,10348,prospecting,14998.21,2025-03-21,2025-08-17
271,10349,closed_won,34574.89,2026-01-18,2025-12-25
272,10350,closed_won,17056.77,2025-11-08,2025-09-03
273,10351,prospecting,49610.57,2025-02-24,2025-05-14
274,10352,qualified,10594.27,2025-09-09,2026-01-23
275,10353,closed_lost,63651.5,2025-09-16,2025-10-22
276,10354,closed_lost,50570.29,2025-04-07,2025-10-02
277,10356,qualified,51906.41,2025-11-13,2025-08-24
278,10358,qualified,33206.86,2025-11-10,2025-10-23
279,10359,closed_won,25901.78,2025-01-30,2025-11-09
280,10362,prospecting,8593.46,2025-04-12,2025-10-08
281,10365,proposal,30923.75,2026-01-14,2025-11-17
282,10366,closed_lost,18072.5,2025-01-19,2025-05-30
283,10367,closed_won,60247.36,2025-08-14,2025-05-27
284,10370,proposal,185265.92,2025-08-17,2025-12-18
285,10371,closed_lost,70614.85,2025-10-16,2025-11-09
286,10372,prospecting,18106.44,2025-04-05,2026-02-24
287,10373,closed_won,8524.35,2025-11-17,2025-08-08
288,10374,prospecting,18932.38,2026-02-23,2025-12-27
289,10376,proposal,11457.48,2026-01-16,2025-08-02
290,10377,qualified,228380.87,2025-02-27,2025-11-21
291,10379,closed_lost,19770.32,2025-09-15,2026-02-13
292,10381,closed_won,58444.36,2025-01-13,2025-11-09
293,10384,prospecting,28324.95,2025-03-18,2026-02-05
294,10387,closed_lost,42869.11,2025-05-03,2025-12-14
295,10389,qualified,15245.25,2025-03-02,2025-12-11
296,10390,proposal,95479.21,2025-10-14,2025-05-25
297,10394,closed_lost,44294.11,2025-05-31,2026-01-06
298,10395,closed_won,17050.81,2025-12-09,2025-12-27
299,10397,qualified,171060.02,2025-04-04,2025-08-18
300,10398,prospecting,14446.55,2025-06-02,2025-12-04
301,10399,closed_lost,71193.31,2026-02-22,2025-06-24
302,10401,proposal,16935.87,2025-12-07,2026-01-19
303,10404,prospecting,18023.87,2025-10-18,2025-08-10
304,10405,prospecting,210121.58,2025-02-12,2025-11-04
305,10406,proposal,231708.26,2025-10-05,2025-10-19
306,10407,qualified,15189.23,2025-10-15,2025-12-15
307,10408,qualified,168147.36,2025-11-02,2026-01-19
308,10410,closed_won,207414.87,2025-12-09,2025-10-02
309,10411,proposal,56570.26,2025-10-28,2025-09-25
310,10413,proposal,9865.18,2025-05-21,2025-08-14
311,10414,qualified,198001.41,2025-12-22,2025-09-21
312,10415,closed_won,12034.07,2025-07-28,2025-06-17
313,10416,qualified,10475.87,2025-08-09,2025-10-03
314,10417,closed_won,11138.54,2025-12-12,2025-08-08
315,10418,qualified,50585.41,2025-02-10,2026-01-28
316,10419,closed_lost,13448.37,2025-02-01,2025-06-29
317,10420,closed_won,140085.57,2025-04-24,2025-11-09
318,10421,proposal,66280.93,2025-10-23,2026-02-07
319,10422,closed_lost,8521.39,2025-11-26,2025-11-21
320,10424,closed_lost,10516.68,2025-06-29,2025-05-14
321,10426,proposal,168938.11,2025-08-21,2026-02-05
322,10427,qualified,7604.8,2025-05-01,2025-11-10
323,10429,qualified,11583.95,2025-12-14,2025-09-18
324,10430,closed_won,118125.5,2025-09-12,2025-11-08
325,10431,proposal,106049.55,2025-03-07,2025-05-24
326,10432,prospecting,53261.21,2025-07-04,2025-06-22
327,10433,qualified,38182.78,2025-05-11,2025-07-04
328,10436,qualified,7754.8,2025-06-13,2025-07-18
329,10437,closed_lost,18324.46,2025-02-05,2025-06-05
330,10438,closed_lost,49119.58,2025-08-13,2026-01-10
331,10439,qualified,61104.46,2025-02-18,2025-06-12
332,10440,closed_lost,28024.18,2025-03-28,2026-01-05
333,10441,closed_won,109070.13,2025-12-02,2026-01-03
334,10443,proposal,54007.03,2025-09-01,2025-07-27
335,10444,proposal,19887.48,2025-02-14,2025-10-13
336,10445,proposal,10686.66,2025-08-23,2025-10-26
337,10449,closed_won,13347.92,2025-01-04,2025-06-11
338,10450,closed_won,51141.0,2025-07-20,2025-06-20
339,10454,closed_won,20300.45,2025-04-15,2026-01-12
340,10455,qualified,10731.43,2025-04-06,2025-10-13
341,10456,closed_won,12397.78,2025-10-03,2026-02-14
342,10457,closed_lost,181794.49,2025-12-02,2025-06-14
343,10459,prospecting,37405.65,2025-01-24,2025-10-09
344,10460,closed_won,55324.64,2026-01-17,2025-08-13
345,10461,closed_lost,46357.8,2025-01-20,2025-10-06
346,10462,proposal,14407.89,2025-02-05,2025-05-23
347,10463,closed_lost,136263.61,2025-01-07,2025-05-24
348,10464,prospecting,11297.3,2026-02-12,2025-11-25
349,10465,prospecting,60903.18,2025-05-01,2025-08-13
350,10467,closed_won,27362.39,2025-11-06,2025-10-08
351,10470,qualified,60113.18,2025-05-25,2026-01-06
352,10471,prospecting,13811.47,2025-02-26,2025-10-09
353,10473,closed_won,16005.65,2025-06-03,2025-10-19
354,10474,prospecting,19740.45,2026-02-05,2025-09-22
355,10475,closed_won,16279.31,2026-02-09,2025-09-17
356,10476,closed_lost,12166.91,2025-11-18,2025-10-22
357,10480,proposal,8768.93,2025-08-28,2025-10-14
358,10481,prospecting,13782.42,2025-09-17,2025-11-13
359,10486,prospecting,7333.82,2025-09-20,2025-10-10
360,10487,prospecting,32426.24,2025-07-07,2026-01-02
361,10492,prospecting,65781.28,2025-12-19,2025-06-01
362,10493,closed_lost,30595.78,2025-08-27,2026-02-02
363,10494,prospecting,12065.81,2025-07-11,2025-07-17
364,10495,prospecting,71126.98,2025-06-04,2026-01-18
365,10497,closed_lost,35368.69,2025-06-28,2025-08-30
366,10498,proposal,61201.49,2025-12-11,2026-02-24
367,10499,closed_lost,12325.01,2025-06-14,2025-10-19
368,10500,prospecting,48398.53,2025-10-28,2025-09-07
