ticket_id,account_id,created_at,category,priority,resolved_hours
48,10017,2026-01-22 00:00:00,bug,low,37.1
49,10017,2026-02-02 00:00:00,billing,high,43.6
50,10017,2026-04-24 00:00:00,how_to,low,29.3
51,10017,2026-03-24 00:00:00,billing,urgent,49.3
52,10018,2026-01-17 00:00:00,integration,medium,22.5
53,10018,2026-04-27 00:00:00,bug,high,12.0
54,10019,2026-03-12 00:00:00,bug,medium,34.8
55,10019,2026-04-22 00:00:00,how_to,medium,26.4
56,10019,2026-04-14 00:00:00,how_to,medium,46.7
57,10020,2026-01-06 00:00:00,bug,medium,63.7
58,10020,2026-01-04 00:00:00,integration,low,32.7
59,10021,2026-01-29 00:00:00,how_to,low,46.1
60,10021,2026-01-14 00:00:00,bug,medium,47.6
61,10021,2026-03-15 00:00:00,integration,low,19.8
62,10022,2026-02-18 00:00:00,billing,urgent,37.3
63,10022,2026-03-29 00:00:00,integration,medium,19.5
64,10023,2026-01-18 00:00:00,integration,high,12.4
65,10023,2026-03-08 00:00:00,billing,low,30.7
66,10023,2026-02-26 00:00:00,integration,high,37.6
67,10023,2026-01-24 00:00:00,bug,medium,37.0
68,10024,2026-04-11 00:00:00,billing,low,26.1
69,10024,2026-03-14 00:00:00,integration,high,40.2
70,10024,2026-03-08 00:00:00,bug,low,1.0
71,10024,2026-01-16 00:00:00,bug,low,42.7
72,10024,2026-03-11 00:00:00,how_to,urgent,1.4
73,10024,2026-02-02 00:00:00,bug,medium,26.9
74,10025,2026-03-20 00:00:00,how_to,medium,51.2
75,10026,2026-04-10 00:00:00,how_to,medium,41.2
76,10026,2026-04-03 00:00:00,integration,low,5.8
77,10027,2026-01-15 00:00:00,billing,urgent,48.2
78,10027,2026-03-05 00:00:00,how_to,medium,24.9
79,10028,2026-01-30 00:00:00,how_to,medium,34.9
80,10029,2026-02-25 00:00:00,how_to,high,18.8
81,10030,2026-02-04 00:00:00,how_to,low,36.5
82,10030,2026-03-29 00:00:00,how_to,high,8.3
83,10030,2026-02-18 00:00:00,integration,high,25.8
84,10030,2026-04-10 00:00:00,billing,medium,11.7
85,10031,2026-01-21 00:00:00,how_to,low,2.8
86,10032,2026-01-15 00:00:00,how_to,high,10.1
87,10032,2026-02-22 00:00:00,integration,medium,31.0
88,10032,2026-02-19 00:00:00,how_to,high,30.6
89,10032,2026-03-27 00:00:00,how_to,low,27.9
90,10032,2026-01-18 00:00:00,billing,medium,21.0
91,10035,2026-03-11 00:00:00,billing,high,13.5
92,10035,2026-04-13 00:00:00,bug,medium,37.8
93,10035,2026-03-09 00:00:00,billing,high,10.5
94,10035,2026-02-10 00:00:00,integration,medium,33.6
95,10035,2026-04-22 00:00:00,billing,medium,32.4
96,10036,2026-01-28 00:00:00,integration,medium,19.9
97,10036,2026-04-16 00:00:00,billing,medium,55.1
98,10036,2026-03-29 00:00:00,bug,high,1.0
99,10038,2026-04-04 00:00:00,how_to,medium,17.1
100,10038,2026-04-08 00:00:00,how_to,medium,26.1
101,10039,2026-01-03 00:00:00,integration,high,5.9
102,10039,2026-03-25 00:00:00,bug,low,36.3
103,10040,2026-02-09 00:00:00,how_to,low,34.8
104,10041,2026-03-16 00:00:00,bug,medium,14.5
105,10041,2026-02-06 00:00:00,bug,medium,12.6
106,10042,2026-02-05 00:00:00,billing,high,1.0
107,10045,2026-03-26 00:00:00,bug,low,23.1
108,10045,2026-01-02 00:00:00,billing,low,18.5
109,10045,2026-02-10 00:00:00,how_to,medium,33.0
110,10045,2026-01-04 00:00:00,billing,urgent,11.9
111,10046,2026-01-29 00:00:00,billing,medium,22.9
112,10046,2026-03-29 00:00:00,integration,low,50.8
113,10046,2026-01-29 00:00:00,billing,high,28.0
114,10046,2026-03-06 00:00:00,how_to,urgent,1.0
115,10046,2026-03-30 00:00:00,integration,low,47.0
116,10049,2026-03-29 00:00:00,bug,medium,19.2
117,10049,2026-03-19 00:00:00,billing,medium,50.9
118,10049,2026-03-13 00:00:00,billing,low,26.9
119,10051,2026-01-19 00:00:00,billing,medium,36.2
120,10052,2026-01-23 00:00:00,bug,medium,35.3
121,10052,2026-03-23 00:00:00,bug,high,46.8
122,10053,2026-02-15 00:00:00,how_to,high,7.1
123,10053,2026-01-30 00:00:00,integration,low,33.8
124,10053,2026-03-13 00:00:00,how_to,low,6.1
125,10055,2026-03-11 00:00:00,billing,medium,36.0
126,10056,2026-02-20 00:00:00,integration,urgent,24.2
127,10056,2026-01-10 00:00:00,bug,high,1.0
128,10057,2026-04-13 00:00:00,how_to,low,27.5
129,10057,2026-04-07 00:00:00,integration,medium,12.7
130,10058,2026-03-27 00:00:00,bug,low,25.7
131,10058,2026-04-15 00:00:00,integration,low,13.3
132,10060,2026-02-21 00:00:00,integration,medium,16.0
133,10060,2026-03-24 00:00:00,integration,high,31.3
134,10060,2026-04-07 00:00:00,billing,medium,40.8
135,10060,2026-04-01 00:00:00,integration,medium,2.4
136,10060,2026-02-11 00:00:00,billing,medium,27.7
137,10062,2026-03-23 00:00:00,how_to,low,26.2
138,10062,2026-04-15 00:00:00,integration,medium,36.2
139,10062,2026-04-16 00:00:00,bug,low,29.1
140,10064,2026-04-06 00:00:00,integration,medium,26.1
141,10064,2026-01-02 00:00:00,billing,low,47.5
142,10065,2026-03-16 00:00:00,how_to,medium,21.8
143,10066,2026-04-24 00:00:00,how_to,high,40.1
144,10066,2026-03-18 00:00:00,integration,low,14.4
145,10067,2026-04-04 00:00:00,how_to,medium,25.1
146,10067,2026-02-12 00:00:00,bug,medium,24.6
147,10067,2026-01-22 00:00:00,integration,medium,36.9
148,10067,2026-04-28 00:00:00,billing,urgent,18.1
149,10067,2026-01-13 00:00:00,how_to,low,35.6
150,10070,2026-02-23 00:00:00,integration,high,4.2
151,10071,2026-03-10 00:00:00,integration,medium,1.0
152,10072,2026-03-05 00:00:00,how_to,low,52.7
153,10073,2026-04-16 00:00:00,bug,medium,44.8
154,10073,2026-02-13 00:00:00,how_to,urgent,45.5
155,10073,2026-02-01 00:00:00,integration,medium,5.4
156,10073,2026-01-09 00:00:00,bug,medium,9.0
157,10073,2026-01-05 00:00:00,how_to,medium,32.1
158,10073,2026-01-02 00:00:00,billing,medium,33.2
159,10074,2026-04-17 00:00:00,bug,high,48.1
160,10074,2026-02-06 00:00:00,bug,low,45.6
161,10075,2026-04-05 00:00:00,integration,medium,6.1
162,10076,2026-01-18 00:00:00,billing,low,47.2
163,10078,2026-01-24 00:00:00,bug,high,15.1
164,10078,2026-03-20 00:00:00,how_to,high,1.0
165,10078,2026-03-05 00:00:00,integration,low,15.7
166,10078,2026-02-23 00:00:00,how_to,low,15.0
167,10078,2026-02-09 00:00:00,integration,medium,60.7
168,10079,2026-04-02 00:00:00,how_to,medium,50.1
169,10079,2026-01-21 00:00:00,bug,low,18.3
170,10080,2026-01-14 00:00:00,how_to,high,21.8
171,10080,2026-02-16 00:00:00,integration,medium,25.4
172,10080,2026-03-26 00:00:00,bug,medium,19.3
173,10081,2026-03-02 00:00:00,integration,medium,22.0
174,10081,2026-02-23 00:00:00,integration,high,32.2
175,10081,2026-02-24 00:00:00,how_to,medium,27.7
176,10081,2026-04-09 00:00:00,how_to,medium,54.4
177,10082,2026-02-01 00:00:00,how_to,low,30.4
178,10083,2026-03-14 00:00:00,billing,medium,25.0
179,10083,2026-01-24 00:00:00,bug,medium,11.3
180,10083,2026-03-22 00:00:00,bug,low,8.9
181,10083,2026-01-09 00:00:00,integration,low,51.1
182,10083,2026-01-26 00:00:00,bug,urgent,19.1
183,10083,2026-01-08 00:00:00,how_to,low,40.7
184,10083,2026-04-21 00:00:00,integration,medium,24.8
185,10084,2026-04-02 00:00:00,bug,low,1.0
186,10084,2026-04-21 00:00:00,integration,medium,38.1
187,10086,2026-04-25 00:00:00,bug,medium,43.4
188,10087,2026-04-17 00:00:00,bug,low,28.9
189,10087,2026-04-14 00:00:00,bug,medium,30.4
190,10088,2026-01-28 00:00:00,how_to,low,30.4
191,10088,2026-01-24 00:00:00,bug,low,20.4
192,10090,2026-03-08 00:00:00,bug,medium,10.2
193,10092,2026-02-09 00:00:00,billing,medium,40.1
194,10092,2026-03-22 00:00:00,bug,low,23.9
195,10093,2026-04-26 00:00:00,integration,low,30.8
196,10093,2026-03-13 00:00:00,integration,medium,27.3
197,10094,2026-02-24 00:00:00,integration,medium,35.0
198,10095,2026-03-16 00:00:00,how_to,medium,29.3
199,10095,2026-02-27 00:00:00,billing,medium,60.4
200,10095,2026-02-07 00:00:00,bug,low,38.3
201,10096,2026-03-17 00:00:00,how_to,low,25.0
202,10096,2026-03-30 00:00:00,how_to,medium,38.7
203,10097,2026-02-05 00:00:00,bug,low,33.2
204,10097,2026-01-28 00:00:00,billing,high,8.8
205,10098,2026-02-19 00:00:00,bug,low,44.5
206,10098,2026-01-31 00:00:00,billing,high,22.6
207,10100,2026-02-10 00:00:00,how_to,medium,34.2
208,10100,2026-03-16 00:00:00,integration,low,39.6
209,10101,2026-03-01 00:00:00,how_to,low,50.2
210,10101,2026-03-14 00:00:00,integration,medium,34.0
211,10101,2026-03-20 00:00:00,bug,low,25.3
212,10101,2026-02-02 00:00:00,bug,low,41.0
213,10101,2026-03-26 00:00:00,how_to,low,23.0
214,10102,2026-04-03 00:00:00,how_to,high,7.1
215,10102,2026-01-22 00:00:00,integration,medium,38.9
216,10102,2026-04-30 00:00:00,bug,low,23.4
217,10104,2026-02-03 00:00:00,bug,low,1.0
218,10104,2026-02-26 00:00:00,how_to,high,25.6
219,10104,2026-04-16 00:00:00,billing,medium,64.4
220,10104,2026-04-26 00:00:00,how_to,low,14.9
221,10104,2026-04-13 00:00:00,bug,medium,17.2
222,10104,2026-01-08 00:00:00,billing,medium,41.7
223,10105,2026-04-29 00:00:00,bug,medium,20.6
224,10106,2026-03-31 00:00:00,billing,medium,13.9
225,10106,2026-04-06 00:00:00,how_to,medium,22.9
226,10107,2026-03-21 00:00:00,integration,low,28.4
227,10108,2026-02-23 00:00:00,billing,high,20.3
228,10110,2026-04-10 00:00:00,bug,low,31.7
229,10110,2026-02-09 00:00:00,how_to,medium,47.6
230,10110,2026-02-12 00:00:00,billing,high,10.9
231,10110,2026-02-10 00:00:00,how_to,low,30.1
232,10111,2026-04-20 00:00:00,billing,low,10.6
233,10113,2026-03-26 00:00:00,billing,low,33.3
234,10114,2026-02-28 00:00:00,billing,high,24.0
235,10114,2026-03-25 00:00:00,how_to,low,38.5
236,10114,2026-01-21 00:00:00,integration,medium,11.9
237,10114,2026-01-19 00:00:00,bug,medium,12.6
238,10114,2026-02-09 00:00:00,how_to,medium,26.2
239,10114,2026-03-02 00:00:00,integration,medium,49.8
240,10116,2026-02-10 00:00:00,how_to,low,32.8
241,10116,2026-01-24 00:00:00,billing,medium,21.1
242,10116,2026-01-11 00:00:00,bug,high,34.2
243,10116,2026-04-09 00:00:00,integration,medium,10.9
244,10116,2026-02-19 00:00:00,bug,medium,22.9
245,10116,2026-03-12 00:00:00,integration,medium,26.3
246,10116,2026-02-24 00:00:00,billing,medium,32.3
247,10117,2026-03-17 00:00:00,how_to,medium,11.7
248,10117,2026-01-13 00:00:00,bug,low,33.8
249,10117,2026-04-25 00:00:00,integration,low,5.2
250,10117,2026-02-05 00:00:00,integration,urgent,32.5
251,10117,2026-04-29 00:00:00,bug,medium,9.2
252,10119,2026-04-19 00:00:00,how_to,low,17.7
253,10119,2026-04-28 00:00:00,bug,low,39.5
254,10120,2026-04-09 00:00:00,bug,low,39.2
255,10121,2026-03-31 00:00:00,how_to,medium,18.0
256,10121,2026-02-22 00:00:00,bug,low,31.9
257,10121,2026-02-05 00:00:00,billing,high,26.8
258,10121,2026-02-08 00:00:00,bug,medium,48.6
259,10122,2026-03-26 00:00:00,how_to,low,19.9
260,10122,2026-03-17 00:00:00,integration,low,48.9
261,10122,2026-03-22 00:00:00,billing,high,5.7
262,10124,2026-02-17 00:00:00,integration,medium,15.1
263,10126,2026-03-27 00:00:00,bug,medium,37.2
264,10126,2026-02-05 00:00:00,how_to,medium,38.6
265,10127,2026-03-20 00:00:00,integration,urgent,1.0
266,10131,2026-01-22 00:00:00,billing,high,34.4
267,10131,2026-01-06 00:00:00,how_to,low,15.6
268,10132,2026-04-14 00:00:00,billing,urgent,8.2
269,10132,2026-03-30 00:00:00,billing,low,42.2
270,10132,2026-04-07 00:00:00,bug,medium,32.1
271,10133,2026-04-08 00:00:00,billing,low,37.6
272,10133,2026-03-31 00:00:00,billing,low,26.9
273,10134,2026-02-05 00:00:00,integration,high,49.1
274,10134,2026-02-13 00:00:00,how_to,low,34.6
275,10135,2026-04-21 00:00:00,billing,medium,49.5
276,10135,2026-04-03 00:00:00,how_to,low,35.8
277,10135,2026-02-04 00:00:00,how_to,high,17.4
278,10136,2026-02-15 00:00:00,integration,low,38.7
279,10136,2026-01-27 00:00:00,how_to,low,5.8
280,10137,2026-03-03 00:00:00,bug,medium,63.6
281,10137,2026-04-09 00:00:00,integration,urgent,41.4
282,10138,2026-04-03 00:00:00,bug,low,39.1
283,10139,2026-02-18 00:00:00,billing,low,9.8
284,10139,2026-02-22 00:00:00,integration,urgent,16.7
285,10139,2026-03-27 00:00:00,integration,low,49.4
286,10141,2026-02-06 00:00:00,bug,high,29.5
287,10141,2026-03-27 00:00:00,how_to,medium,9.2
288,10142,2026-04-24 00:00:00,bug,low,39.8
289,10143,2026-02-27 00:00:00,bug,low,24.9
290,10143,2026-04-14 00:00:00,integration,low,27.3
291,10143,2026-03-12 00:00:00,integration,medium,36.4
292,10143,2026-01-13 00:00:00,billing,urgent,22.8
293,10144,2026-01-03 00:00:00,how_to,medium,39.9
294,10148,2026-02-24 00:00:00,bug,low,26.2
295,10148,2026-01-07 00:00:00,billing,medium,28.8
296,10148,2026-01-15 00:00:00,how_to,medium,37.5
297,10148,2026-02-16 00:00:00,integration,low,1.0
298,10148,2026-02-03 00:00:00,how_to,medium,24.3
299,10149,2026-04-05 00:00:00,how_to,high,15.0
300,10151,2026-02-20 00:00:00,bug,high,23.0
301,10151,2026-01-13 00:00:00,billing,medium,41.0
302,10151,2026-04-28 00:00:00,bug,high,48.1
303,10151,2026-04-23 00:00:00,how_to,medium,29.2
304,10151,2026-03-13 00:00:00,bug,low,23.1
305,10151,2026-03-02 00:00:00,bug,low,15.4
306,10151,2026-01-26 00:00:00,bug,high,44.4
307,10152,2026-01-28 00:00:00,how_to,high,32.8
308,10152,2026-01-23 00:00:00,billing,medium,22.9
309,10152,2026-02-17 00:00:00,bug,low,26.9
310,10152,2026-03-23 00:00:00,integration,low,30.4
311,10153,2026-04-07 00:00:00,billing,low,22.2
312,10153,2026-01-27 00:00:00,how_to,low,26.6
313,10153,2026-04-26 00:00:00,bug,high,47.3
314,10156,2026-01-11 00:00:00,integration,high,23.3
315,10157,2026-04-11 00:00:00,billing,medium,44.6
316,10157,2026-03-12 00:00:00,how_to,medium,39.1
317,10158,2026-03-24 00:00:00,integration,low,38.7
318,10158,2026-03-04 00:00:00,how_to,urgent,42.3
319,10159,2026-01-26 00:00:00,integration,low,46.4
320,10159,2026-03-25 00:00:00,how_to,high,3.4
321,10159,2026-03-07 00:00:00,bug,low,38.0
322,10159,2026-04-23 00:00:00,billing,low,10.9
323,10160,2026-01-20 00:00:00,bug,low,59.0
324,10162,2026-02-10 00:00:00,billing,low,20.2
325,10162,2026-03-12 00:00:00,billing,medium,37.8
326,10162,2026-04-20 00:00:00,billing,low,15.9
327,10162,2026-02-01 00:00:00,bug,low,31.5
328,10162,2026-01-11 00:00:00,bug,medium,16.0
329,10162,2026-02-18 00:00:00,integration,medium,30.6
330,10162,2026-04-28 00:00:00,bug,medium,1.0
331,10162,2026-03-06 00:00:00,how_to,low,42.0
332,10163,2026-04-08 00:00:00,how_to,low,15.0
333,10163,2026-03-19 00:00:00,billing,high,39.1
334,10164,2026-03-30 00:00:00,billing,medium,37.9
335,10164,2026-01-04 00:00:00,integration,medium,42.1
336,10165,2026-02-04 00:00:00,how_to,high,46.2
337,10165,2026-04-29 00:00:00,integration,low,3.0
338,10165,2026-01-31 00:00:00,bug,medium,41.0
339,10167,2026-01-24 00:00:00,how_to,low,27.7
340,10167,2026-01-04 00:00:00,integration,medium,50.5
341,10167,2026-03-21 00:00:00,how_to,low,22.8
342,10167,2026-04-12 00:00:00,billing,medium,36.0
343,10168,2026-01-20 00:00:00,integration,medium,20.7
344,10168,2026-04-15 00:00:00,how_to,high,35.6
345,10168,2026-04-24 00:00:00,integration,medium,44.6
346,10168,2026-03-21 00:00:00,integration,medium,35.0
347,10168,2026-02-15 00:00:00,bug,high,12.8
348,10168,2026-01-08 00:00:00,billing,low,37.9
349,10168,2026-03-09 00:00:00,billing,low,44.5
350,10168,2026-04-09 00:00:00,bug,medium,1.0
351,10169,2026-03-25 00:00:00,bug,high,31.5
352,10169,2026-03-11 00:00:00,bug,urgent,10.4
353,10170,2026-03-05 00:00:00,billing,low,6.6
354,10170,2026-02-09 00:00:00,integration,high,38.6
355,10170,2026-04-27 00:00:00,how_to,urgent,4.5
356,10170,2026-02-15 00:00:00,integration,low,3.3
357,10170,2026-02-05 00:00:00,billing,urgent,28.9
358,10170,2026-04-08 00:00:00,integration,low,20.7
359,10170,2026-04-14 00:00:00,billing,medium,49.0
360,10170,2026-02-27 00:00:00,billing,high,32.6
361,10170,2026-03-26 00:00:00,billing,low,14.5
362,10170,2026-03-18 00:00:00,how_to,urgent,25.3
363,10170,2026-02-21 00:00:00,how_to,medium,30.7
364,10170,2026-03-13 00:00:00,how_to,low,12.2
365,10171,2026-02-02 00:00:00,bug,medium,30.4
366,10171,2026-03-17 00:00:00,integration,medium,26.1
367,10171,2026-02-09 00:00:00,how_to,urgent,28.0
368,10172,2026-01-11 00:00:00,billing,high,37.6
369,10173,2026-01-31 00:00:00,bug,urgent,13.3
370,10174,2026-03-04 00:00:00,how_to,medium,39.9
371,10174,2026-04-22 00:00:00,how_to,high,34.2
372,10174,2026-01-03 00:00:00,bug,high,23.6
373,10174,2026-02-16 00:00:00,bug,urgent,22.4
374,10176,2026-01-25 00:00:00,billing,low,36.7
375,10177,2026-01-04 00:00:00,bug,low,13.6
376,10177,2026-04-14 00:00:00,how_to,medium,33.4
377,10178,2026-02-25 00:00:00,billing,low,23.4
378,10178,2026-02-10 00:00:00,billing,low,19.9
379,10178,2026-03-08 00:00:00,bug,low,10.9
380,10179,2026-01-30 00:00:00,integration,medium,37.0
381,10179,2026-03-31 00:00:00,bug,medium,42.5
382,10179,2026-02-14 00:00:00,bug,high,20.3
383,10180,2026-01-01 00:00:00,integration,low,44.1
384,10180,2026-03-13 00:00:00,billing,high,11.5
385,10181,2026-02-16 00:00:00,integration,medium,29.6
386,10181,2026-01-17 00:00:00,bug,low,27.3
387,10181,2026-01-03 00:00:00,bug,medium,27.5
388,10181,2026-03-16 00:00:00,bug,low,24.1
389,10181,2026-01-19 00:00:00,bug,medium,12.2
390,10181,2026-04-04 00:00:00,bug,urgent,39.2
391,10181,2026-02-23 00:00:00,how_to,medium,19.9
392,10181,2026-04-11 00:00:00,how_to,high,30.3
393,10181,2026-02-27 00:00:00,integration,high,46.4
394,10181,2026-03-23 00:00:00,billing,medium,22.7
395,10181,2026-04-10 00:00:00,bug,low,34.3
396,10181,2026-04-04 00:00:00,bug,medium,50.8
397,10182,2026-04-10 00:00:00,billing,medium,23.0
398,10182,2026-04-09 00:00:00,bug,medium,32.8
399,10182,2026-04-30 00:00:00,integration,urgent,30.6
400,10182,2026-04-27 00:00:00,bug,low,29.6
401,10182,2026-04-10 00:00:00,how_to,medium,21.1
402,10183,2026-01-07 00:00:00,integration,high,23.6
403,10184,2026-04-13 00:00:00,integration,medium,56.3
404,10184,2026-03-15 00:00:00,bug,medium,25.7
405,10185,2026-01-06 00:00:00,bug,urgent,41.4
406,10185,2026-02-22 00:00:00,integration,medium,16.0
407,10186,2026-01-28 00:00:00,how_to,low,34.9
408,10186,2026-02-17 00:00:00,integration,low,27.0
409,10186,2026-01-19 00:00:00,integration,high,31.4
410,10187,2026-03-28 00:00:00,integration,high,35.8
411,10187,2026-01-23 00:00:00,bug,urgent,11.5
412,10187,2026-03-26 00:00:00,integration,low,17.0
413,10188,2026-01-06 00:00:00,billing,medium,16.2
414,10189,2026-01-10 00:00:00,how_to,medium,18.8
415,10189,2026-04-05 00:00:00,integration,high,11.0
416,10189,2026-02-17 00:00:00,how_to,low,22.0
417,10189,2026-04-27 00:00:00,how_to,medium,9.5
418,10190,2026-03-01 00:00:00,integration,high,27.8
419,10190,2026-03-07 00:00:00,how_to,high,30.9
420,10191,2026-01-11 00:00:00,how_to,low,40.3
421,10191,2026-01-08 00:00:00,integration,low,40.2
422,10191,2026-02-25 00:00:00,billing,low,28.2
423,10191,2026-04-20 00:00:00,how_to,high,51.0
424,10191,2026-02-11 00:00:00,bug,low,21.9
425,10191,2026-01-14 00:00:00,billing,medium,54.5
426,10191,2026-01-28 00:00:00,integration,low,38.8
427,10191,2026-02-02 00:00:00,how_to,medium,21.4
428,10192,2026-02-01 00:00:00,integration,medium,20.6
429,10192,2026-04-28 00:00:00,integration,urgent,23.1
430,10194,2026-02-06 00:00:00,how_to,high,41.6
431,10196,2026-03-31 00:00:00,integration,medium,20.1
432,10196,2026-02-10 00:00:00,billing,medium,11.4
433,10197,2026-01-07 00:00:00,how_to,high,13.7
434,10198,2026-02-07 00:00:00,how_to,medium,22.6
435,10198,2026-04-16 00:00:00,billing,urgent,26.5
436,10198,2026-03-07 00:00:00,how_to,medium,24.3
437,10200,2026-03-29 00:00:00,how_to,low,15.7
438,10200,2026-03-11 00:00:00,integration,medium,1.0
439,10201,2026-02-28 00:00:00,how_to,high,28.8
440,10201,2026-01-06 00:00:00,integration,high,30.0
441,10201,2026-01-04 00:00:00,bug,high,27.5
442,10201,2026-02-07 00:00:00,billing,low,54.8
443,10202,2026-01-18 00:00:00,billing,medium,27.3
444,10202,2026-01-04 00:00:00,how_to,medium,25.2
445,10202,2026-03-16 00:00:00,billing,medium,39.6
446,10202,2026-01-15 00:00:00,billing,high,41.6
447,10203,2026-01-31 00:00:00,billing,high,32.0
448,10203,2026-04-17 00:00:00,billing,low,3.2
449,10204,2026-02-03 00:00:00,integration,low,30.6
450,10204,2026-04-19 00:00:00,billing,low,13.5
451,10205,2026-03-27 00:00:00,integration,high,42.8
452,10208,2026-03-22 00:00:00,bug,low,34.5
453,10209,2026-03-18 00:00:00,bug,medium,27.3
454,10209,2026-03-18 00:00:00,billing,low,47.2
455,10209,2026-01-05 00:00:00,how_to,high,64.7
456,10210,2026-02-19 00:00:00,billing,medium,65.9
457,10210,2026-03-22 00:00:00,billing,medium,9.4
458,10210,2026-01-18 00:00:00,how_to,low,16.3
459,10211,2026-02-12 00:00:00,bug,low,38.5
460,10212,2026-02-11 00:00:00,billing,low,29.5
461,10212,2026-04-18 00:00:00,billing,medium,14.0
462,10214,2026-04-03 00:00:00,how_to,high,18.2
463,10214,2026-04-18 00:00:00,how_to,low,18.4
464,10214,2026-01-08 00:00:00,billing,urgent,16.2
465,10214,2026-04-14 00:00:00,integration,low,52.1
466,10214,2026-01-29 00:00:00,how_to,low,34.1
467,10215,2026-02-16 00:00:00,bug,low,30.1
468,10216,2026-02-13 00:00:00,bug,medium,47.7
469,10216,2026-01-17 00:00:00,bug,medium,37.5
470,10216,2026-04-30 00:00:00,billing,high,27.8
471,10217,2026-04-17 00:00:00,how_to,low,7.0
472,10219,2026-02-21 00:00:00,billing,high,23.8
473,10219,2026-01-14 00:00:00,billing,low,35.3
474,10219,2026-03-30 00:00:00,integration,urgent,32.3
475,10219,2026-04-28 00:00:00,integration,low,25.1
476,10219,2026-04-19 00:00:00,billing,urgent,37.8
477,10219,2026-04-29 00:00:00,integration,high,27.2
478,10219,2026-02-08 00:00:00,how_to,medium,25.3
479,10219,2026-02-17 00:00:00,billing,medium,23.3
480,10220,2026-03-29 00:00:00,how_to,low,45.8
481,10221,2026-04-23 00:00:00,how_to,low,40.3
482,10222,2026-04-17 00:00:00,bug,low,21.4
483,10223,2026-03-15 00:00:00,integration,medium,26.1
484,10223,2026-02-05 00:00:00,how_to,medium,5.5
485,10223,2026-04-27 00:00:00,integration,medium,19.9
486,10223,2026-03-14 00:00:00,integration,medium,15.9
487,10224,2026-04-29 00:00:00,integration,low,27.3
488,10224,2026-01-11 00:00:00,bug,low,40.0
489,10224,2026-01-02 00:00:00,bug,medium,13.9
490,10224,2026-03-16 00:00:00,integration,high,34.2
491,10226,2026-01-26 00:00:00,integration,medium,47.5
492,10226,2026-04-13 00:00:00,bug,medium,15.6
493,10226,2026-01-19 00:00:00,billing,low,20.0
494,10226,2026-03-11 00:00:00,billing,low,36.4
495,10226,2026-04-13 00:00:00,how_to,high,29.5
496,10228,2026-04-03 00:00:00,billing,low,25.6
497,10228,2026-02-02 00:00:00,integration,low,1.0
498,10228,2026-03-21 00:00:00,bug,low,44.3
499,10228,2026-04-10 00:00:00,billing,medium,34.8
500,10229,2026-04-27 00:00:00,how_to,high,48.4
501,10229,2026-03-27 00:00:00,billing,medium,38.2
