subscription_id,account_id,plan,status,started_at,ended_at,mrr
48,10062,growth,canceled,2025-12-14,2026-10-01,3730.12
49,10063,growth,active,2025-01-23,,3748.29
50,10066,growth,active,2025-07-24,,4684.41
51,10067,growth,active,2025-09-01,,3954.59
52,10069,starter,active,2025-05-20,,734.76
53,10070,growth,active,2025-02-08,,3638.47
54,10071,starter,active,2025-12-15,,1042.28
55,10072,starter,active,2025-07-01,,993.13
56,10074,starter,active,2026-01-07,,1025.1
57,10075,starter,active,2025-03-03,,887.99
58,10076,starter,active,2025-10-14,,1026.75
59,10077,starter,active,2025-01-06,,1239.35
60,10078,growth,active,2025-07-01,,4362.61
61,10079,growth,active,2025-06-09,,3893.14
62,10081,growth,active,2026-01-13,,2891.36
63,10082,starter,active,2025-01-25,,807.3
64,10083,enterprise,active,2025-11-21,,15896.86
65,10084,starter,canceled,2025-11-12,2026-03-01,1148.24
66,10085,starter,canceled,2025-11-05,2026-01-17,1080.69
67,10086,starter,active,2025-10-03,,1125.65
68,10088,growth,active,2025-11-01,,3055.48
69,10089,starter,active,2025-08-13,,692.1
70,10090,growth,active,2025-08-11,,2637.7
71,10092,growth,active,2025-01-23,,4091.73
72,10093,growth,active,2025-07-18,,4995.5
73,10094,starter,active,2025-05-29,,1241.81
74,10095,starter,canceled,2025-06-28,2025-11-04,728.74
75,10096,growth,active,2025-12-14,,4723.99
76,10097,starter,active,2025-02-24,,1094.17
77,10098,starter,active,2026-01-02,,806.15
78,10099,starter,active,2025-09-04,,886.32
79,10101,enterprise,active,2025-08-08,,17756.8
80,10102,growth,active,2025-08-16,,3337.55
81,10103,starter,active,2025-04-16,,821.62
82,10104,enterprise,active,2025-10-05,,15803.66
83,10105,growth,active,2025-01-24,,4907.7
84,10107,growth,active,2025-06-12,,4884.72
85,10108,starter,active,2025-09-27,,845.64
86,10109,starter,active,2025-08-05,,928.47
87,10111,growth,active,2025-03-15,,3299.15
88,10112,starter,active,2025-03-18,,798.96
89,10113,starter,active,2025-02-25,,1296.93
90,10115,starter,active,2025-12-09,,707.1
91,10116,enterprise,active,2025-12-17,,9559.13
92,10120,growth,active,2025-04-04,,4578.66
93,10122,growth,canceled,2025-03-23,2025-10-05,4200.55
94,10123,starter,active,2025-05-06,,1064.35
95,10124,starter,active,2025-05-02,,945.12
96,10125,starter,canceled,2025-07-13,2025-12-05,1019.49
97,10127,starter,active,2025-12-14,,983.04
98,10128,starter,active,2025-05-30,,1250.71
99,10129,starter,active,2025-09-03,,913.73
100,10130,growth,active,2026-01-04,,4825.68
101,10131,starter,active,2025-07-23,,1046.17
102,10133,growth,active,2025-03-24,,3317.74
103,10134,starter,canceled,2026-01-24,2026-04-20,948.51
104,10135,growth,canceled,2025-07-29,2025-12-07,3823.42
105,10137,enterprise,active,2025-08-12,,17304.39
106,10138,growth,active,2026-01-07,,3297.73
107,10139,growth,active,2025-06-23,,4945.3
108,10141,growth,canceled,2026-01-25,2026-10-02,3929.7
109,10142,growth,active,2025-10-14,,3513.53
110,10145,growth,active,2025-03-26,,2838.47
111,10147,starter,active,2025-06-02,,867.37
112,10148,growth,active,2025-04-11,,4717.89
113,10149,growth,active,2025-12-15,,2810.37
114,10150,starter,active,2025-01-11,,912.76
115,10151,enterprise,active,2025-02-26,,14624.99
116,10153,starter,canceled,2025-05-30,2025-11-30,1095.79
117,10154,growth,active,2025-07-29,,4946.86
118,10156,growth,active,2025-12-18,,2700.76
119,10157,starter,canceled,2025-07-05,2025-11-06,700.58
120,10159,growth,active,2025-06-14,,3526.25
121,10160,growth,active,2025-09-04,,4266.01
122,10161,starter,active,2025-04-27,,830.81
123,10162,enterprise,canceled,2025-08-16,2026-01-24,12639.02
124,10163,starter,active,2025-09-17,,710.77
125,10164,starter,canceled,2025-08-04,2026-05-12,924.9
126,10166,starter,active,2025-06-23,,1186.46
127,10167,enterprise,active,2025-12-01,,11835.62
128,10168,enterprise,active,2025-06-16,,11129.22
129,10169,starter,active,2025-12-07,,1124.11
130,10170,enterprise,canceled,2025-02-11,2025-06-17,13604.74
131,10171,starter,active,2025-05-23,,1090.38
132,10172,growth,active,2026-01-15,,4305.67
133,10173,starter,active,2025-01-02,,742.45
134,10174,enterprise,active,2025-04-18,,16738.9
135,10175,starter,active,2026-01-25,,702.3
136,10176,starter,active,2025-04-12,,901.62
137,10179,enterprise,active,2025-12-03,,17761.22
138,10180,growth,active,2025-04-29,,3631.78
139,10181,enterprise,canceled,2025-04-22,2025-08-15,11070.5
140,10182,enterprise,active,2026-01-15,,14824.95
141,10186,growth,canceled,2025-03-07,2025-11-02,2768.42
142,10188,starter,active,2025-11-23,,1209.53
143,10189,growth,canceled,2025-02-27,2026-01-21,3600.95
144,10190,starter,canceled,2025-02-16,2025-07-27,709.97
145,10196,starter,active,2025-02-27,,1204.25
146,10197,growth,active,2025-08-18,,4946.15
147,10198,enterprise,active,2025-10-30,,16953.34
148,10199,starter,active,2025-06-17,,1111.08
149,10201,growth,active,2025-09-03,,3958.07
150,10202,enterprise,active,2025-10-22,,9452.21
151,10203,growth,active,2025-02-26,,2875.01
152,10204,starter,canceled,2025-05-13,2025-09-17,1132.2
153,10205,starter,active,2025-09-30,,885.02
154,10208,growth,active,2025-12-27,,4216.87
155,10209,starter,canceled,2025-12-19,2026-08-28,1056.04
156,10210,growth,active,2025-08-16,,3215.9
157,10211,growth,active,2025-04-02,,4315.52
158,10212,growth,active,2025-08-19,,4900.08
159,10214,enterprise,active,2026-01-02,,13294.54
160,10215,growth,active,2025-03-21,,4261.1
161,10216,growth,active,2025-11-11,,2962.01
162,10217,starter,active,2025-09-30,,909.91
163,10219,enterprise,active,2025-08-26,,15767.12
164,10221,starter,canceled,2025-11-22,2026-11-10,1263.49
165,10224,enterprise,active,2025-03-17,,13509.38
166,10225,starter,active,2025-06-26,,680.42
167,10226,enterprise,active,2025-09-26,,15214.26
168,10227,starter,active,2025-01-12,,698.02
169,10228,growth,canceled,2025-08-01,2025-12-24,3146.13
170,10229,growth,active,2025-09-25,,2681.74
171,10230,starter,active,2025-07-14,,1242.64
172,10231,starter,active,2025-07-09,,1038.16
173,10233,enterprise,active,2025-08-17,,13132.09
174,10235,enterprise,active,2025-08-09,,14522.28
175,10237,growth,canceled,2025-09-13,2026-08-21,4652.9
176,10238,growth,active,2025-03-10,,4076.37
177,10239,starter,active,2025-01-04,,935.04
178,10240,starter,active,2025-04-27,,1274.88
179,10242,growth,active,2025-12-15,,3722.89
180,10243,starter,active,2025-05-27,,1021.91
181,10244,growth,active,2025-10-29,,4865.1
182,10245,growth,active,2025-04-21,,3330.7
183,10246,enterprise,active,2025-07-26,,10566.64
184,10247,growth,active,2025-10-17,,4949.85
185,10248,starter,active,2025-02-13,,1084.28
186,10249,starter,active,2025-06-29,,936.77
187,10250,growth,active,2025-05-24,,4148.24
188,10251,growth,active,2025-05-31,,2731.63
189,10252,enterprise,canceled,2025-12-06,2026-11-20,13040.67
190,10253,growth,active,2025-03-28,,4405.14
191,10254,starter,active,2025-12-27,,678.29
192,10255,starter,active,2025-09-06,,1106.41
193,10256,growth,active,2025-05-05,,3667.85
194,10257,enterprise,active,2025-04-17,,10970.0
195,10258,starter,active,2025-10-28,,1167.09
196,10260,growth,active,2025-04-11,,3301.95
197,10263,starter,active,2025-05-31,,1125.87
198,10264,starter,active,2025-01-02,,901.31
199,10265,enterprise,active,2025-10-11,,9449.42
200,10266,starter,active,2025-09-15,,761.5
201,10268,starter,canceled,2025-02-09,2025-09-26,1295.24
202,10271,starter,active,2025-08-11,,773.97
203,10272,starter,active,2026-01-09,,1048.36
204,10273,starter,active,2025-12-28,,1247.97
205,10274,growth,active,2025-12-10,,4193.13
206,10275,growth,active,2025-08-10,,2824.94
207,10277,starter,active,2025-09-10,,1290.21
208,10278,growth,active,2025-06-06,,4715.41
209,10280,enterprise,active,2025-08-21,,17072.05
210,10281,starter,active,2025-04-25,,697.72
211,10283,starter,active,2025-11-02,,892.02
212,10284,starter,active,2026-01-03,,1012.27
213,10286,starter,active,2025-03-27,,1059.62
214,10287,starter,active,2025-12-07,,1156.96
215,10288,starter,active,2025-11-03,,1084.84
216,10289,growth,active,2025-11-30,,4746.61
217,10290,starter,active,2025-06-02,,1051.04
218,10291,enterprise,active,2025-02-12,,13435.78
219,10293,enterprise,active,2026-01-15,,15361.33
220,10295,enterprise,active,2025-03-20,,15699.76
221,10296,enterprise,active,2025-07-24,,12529.24
222,10298,enterprise,active,2025-01-09,,14459.75
223,10299,growth,active,2025-12-25,,4102.67
224,10300,growth,active,2025-12-30,,2699.74
225,10302,starter,active,2025-05-11,,757.85
226,10303,growth,active,2025-05-13,,4411.22
227,10304,growth,active,2025-03-20,,4710.49
228,10306,growth,active,2025-02-17,,3653.56
229,10307,starter,canceled,2025-08-18,2026-01-06,825.22
230,10308,growth,active,2025-06-26,,3422.15
231,10309,starter,active,2025-06-06,,775.91
232,10310,starter,active,2025-12-19,,1058.11
233,10311,growth,canceled,2025-08-01,2026-07-15,3023.19
234,10312,starter,active,2025-11-07,,679.01
235,10313,starter,active,2025-10-18,,1167.46
236,10314,starter,active,2025-08-07,,985.99
237,10315,starter,active,2025-01-12,,806.88
238,10316,starter,active,2025-04-29,,1246.69
239,10319,starter,active,2025-12-07,,975.13
240,10320,enterprise,active,2025-10-26,,12807.7
241,10321,enterprise,active,2025-02-09,,14996.32
242,10322,growth,active,2025-05-09,,2957.32
243,10323,starter,active,2025-09-22,,940.06
244,10324,growth,active,2025-01-25,,2680.72
245,10327,enterprise,active,2025-10-30,,13861.68
246,10328,growth,active,2025-01-09,,5071.95
247,10329,growth,canceled,2025-03-10,2025-09-10,4167.27
248,10330,starter,active,2025-11-26,,1122.05
249,10331,growth,active,2025-09-07,,4430.22
250,10332,starter,active,2025-07-25,,804.88
251,10333,growth,active,2025-06-05,,4366.64
252,10334,enterprise,active,2025-04-21,,14509.45
253,10335,starter,active,2025-03-03,,736.11
254,10336,growth,canceled,2025-01-08,2025-12-26,3242.81
255,10337,starter,active,2025-09-08,,808.67
256,10338,growth,active,2025-01-07,,3238.2
257,10339,starter,active,2025-11-11,,995.65
258,10343,enterprise,canceled,2025-03-06,2026-02-24,10150.35
259,10344,growth,active,2025-09-10,,2877.57
260,10345,growth,active,2025-02-26,,4611.37
261,10346,growth,active,2025-03-28,,4372.15
262,10349,growth,active,2025-01-25,,3833.6
263,10350,starter,active,2025-08-17,,1007.66
264,10351,growth,active,2026-01-18,,4419.63
265,10353,growth,active,2025-05-04,,4204.76
266,10354,growth,active,2025-01-10,,3115.51
267,10356,growth,active,2025-08-19,,4485.81
268,10357,growth,canceled,2025-04-13,2025-07-30,2892.7
269,10358,growth,active,2025-08-19,,2997.99
270,10359,growth,active,2025-01-03,,5020.84
271,10360,growth,active,2025-04-20,,3273.31
272,10362,starter,active,2025-10-02,,1267.12
273,10363,starter,active,2025-04-27,,1080.33
274,10364,starter,active,2025-01-21,,1147.23
275,10365,growth,active,2025-07-24,,3541.12
276,10368,growth,active,2025-02-15,,3173.06
277,10369,starter,canceled,2025-07-21,2026-06-29,855.65
278,10372,starter,active,2025-01-23,,915.38
279,10373,starter,active,2025-07-02,,918.09
280,10375,starter,active,2025-01-19,,1210.84
281,10376,starter,active,2025-08-25,,1114.86
282,10377,enterprise,active,2025-05-21,,13080.89
283,10380,growth,active,2025-04-20,,3054.45
284,10381,growth,active,2025-05-18,,2650.93
285,10382,enterprise,active,2025-01-10,,15574.75
286,10383,growth,active,2025-08-02,,4808.65
287,10384,growth,active,2025-01-29,,3848.41
288,10385,starter,canceled,2025-03-21,2025-12-01,1190.94
289,10386,enterprise,active,2025-04-05,,13396.98
290,10387,growth,active,2025-09-16,,3449.92
291,10388,enterprise,canceled,2025-09-08,2026-05-18,16499.63
292,10390,enterprise,active,2025-05-13,,15598.33
293,10391,growth,active,2025-12-20,,4916.36
294,10393,growth,active,2025-02-10,,4779.24
295,10396,growth,active,2025-05-13,,3848.7
296,10397,enterprise,active,2025-09-01,,10888.88
297,10398,starter,active,2025-04-27,,814.03
298,10399,growth,active,2025-02-11,,2949.12
299,10400,growth,active,2025-10-21,,4243.02
300,10401,starter,active,2025-01-15,,901.48
301,10402,enterprise,active,2025-01-20,,10166.51
302,10405,enterprise,canceled,2025-02-19,2025-08-29,15810.71
303,10406,enterprise,active,2025-09-23,,13540.88
304,10408,enterprise,active,2025-01-01,,14093.09
305,10409,starter,active,2025-02-12,,1136.39
306,10412,growth,active,2025-09-22,,4949.02
307,10413,starter,active,2025-02-16,,1117.05
308,10415,starter,active,2025-04-14,,675.01
309,10416,starter,active,2025-01-24,,1155.45
310,10417,starter,active,2025-08-08,,872.58
311,10420,enterprise,active,2025-11-03,,12664.02
312,10421,growth,active,2025-11-25,,4711.83
313,10422,starter,active,2025-08-24,,791.64
314,10423,starter,active,2025-12-05,,1042.35
315,10425,growth,active,2026-01-21,,4027.49
316,10426,enterprise,canceled,2025-10-06,2026-02-13,9401.49
317,10427,starter,active,2025-06-24,,1126.43
318,10428,enterprise,active,2025-10-29,,15872.06
319,10429,starter,active,2025-05-22,,1174.06
320,10430,enterprise,active,2025-06-19,,15340.76
321,10431,enterprise,active,2025-09-21,,14343.37
322,10432,growth,active,2025-09-10,,4271.04
323,10433,growth,active,2025-09-15,,3045.19
324,10434,enterprise,active,2025-03-15,,11980.06
325,10437,starter,active,2025-03-31,,727.8
326,10438,growth,active,2025-01-19,,4246.44
327,10439,growth,active,2025-12-17,,3599.29
328,10440,growth,active,2025-01-27,,5059.05
329,10441,enterprise,active,2025-12-22,,9832.07
330,10442,starter,active,2025-03-08,,783.11
331,10444,starter,active,2025-09-28,,743.96
332,10445,starter,active,2025-07-18,,775.97
333,10446,growth,active,2025-03-21,,4878.19
334,10448,growth,active,2025-06-03,,4914.34
335,10449,starter,canceled,2025-10-28,2026-05-16,995.81
336,10450,growth,active,2025-04-29,,3183.08
337,10451,starter,active,2025-07-04,,803.79
338,10452,enterprise,canceled,2026-01-20,2026-08-16,14433.44
339,10453,growth,active,2025-11-25,,4812.32
340,10454,starter,active,2025-08-02,,954.99
341,10455,starter,active,2026-01-06,,815.56
342,10456,starter,canceled,2025-09-01,2026-03-29,736.17
343,10458,growth,active,2025-06-17,,2794.75
344,10459,growth,active,2025-08-15,,4000.22
345,10460,growth,active,2026-01-18,,4006.59
346,10461,growth,active,2026-01-10,,4363.02
347,10462,starter,active,2026-01-19,,987.99
348,10463,enterprise,canceled,2025-08-25,2025-12-18,17254.1
349,10464,starter,active,2025-10-11,,1043.92
350,10465,growth,active,2025-02-28,,2961.0
351,10466,growth,active,2025-11-10,,2874.41
352,10467,growth,active,2025-04-08,,2873.53
353,10468,enterprise,active,2025-12-29,,13980.9
354,10469,starter,active,2025-08-27,,1075.24
355,10470,growth,active,2025-03-28,,4820.14
356,10473,starter,active,2025-04-17,,1112.86
357,10474,starter,active,2025-12-09,,1214.91
358,10475,starter,active,2025-10-27,,1281.14
359,10477,growth,active,2026-01-04,,4608.2
360,10478,growth,active,2025-12-29,,4382.15
361,10480,starter,active,2026-01-17,,752.99
362,10481,starter,canceled,2025-11-03,2026-01-13,807.49
363,10483,growth,active,2025-05-30,,4313.53
364,10485,starter,active,2026-01-03,,959.18
365,10486,starter,active,2025-03-27,,1058.79
366,10487,growth,active,2025-11-08,,4997.99
367,10489,growth,active,2025-10-17,,3613.6
368,10490,growth,active,2025-06-17,,3550.51
369,10494,starter,canceled,2025-04-13,2025-11-26,1059.9
370,10495,growth,active,2025-11-10,,4917.98
371,10496,growth,active,2025-02-17,,2912.38
372,10497,growth,active,2025-12-07,,5071.75
373,10498,growth,active,2025-12-25,,3008.97
374,10499,starter,active,2025-06-18,,742.28
375,10500,growth,active,2025-03-01,,3397.26
